Part Type,Team,TS,ACC,DEC,HSC,MSC,LSC,Reliability,Condition,Age,Performance Improvability
Gearbox,11,,930,,,,,75,75,9,3
Gearbox,11,,929,,,,,80,80,2,3
Gearbox,12,,393,,,,,70,70,36,5
Gearbox,12,,391,,,,,70,70,14,12
Gearbox,13,,272,,,,,80,80,26,3
Gearbox,13,,269,,,,,75,75,39,10
Gearbox,14,,317,,,,,85,85,16,5
Gearbox,14,,315,,,,,70,70,39,9
Gearbox,15,,293,,,,,70,70,4,12
Gearbox,15,,292,,,,,80,80,8,10
Gearbox,16,,286,,,,,85,85,16,12
Gearbox,16,,283,,,,,80,80,9,10
Gearbox,17,,235,,,,,70,70,15,12
Gearbox,17,,234,,,,,65,65,35,5
Gearbox,18,,212,,,,,75,75,13,7
Gearbox,18,,211,,,,,85,85,12,8
Gearbox,19,,218,,,,,80,80,37,10
Gearbox,19,,215,,,,,80,80,15,6
Gearbox,20,,200,,,,,80,80,15,7
Gearbox,20,,197,,,,,65,65,17,6
Gearbox,21,,212,,,,,65,65,9,12
Gearbox,21,,211,,,,,80,80,2,6
Gearbox,22,,212,,,,,75,75,21,5
Gearbox,22,,210,,,,,70,70,3,5
Gearbox,23,,193,,,,,60,60,30,10
Gearbox,23,,192,,,,,60,60,15,4
Gearbox,24,,117,,,,,60,60,24,10
Gearbox,24,,116,,,,,60,60,7,6
Gearbox,25,,169,,,,,70,70,21,10
Gearbox,25,,168,,,,,70,70,7,10
Gearbox,26,,204,,,,,70,70,27,5
Gearbox,26,,202,,,,,90,90,2,4
Gearbox,27,,93,,,,,65,65,3,10
Gearbox,27,,91,,,,,60,60,19,5
Gearbox,28,,68,,,,,85,85,4,12
Gearbox,28,,65,,,,,65,65,18,11
Gearbox,29,,14,,,,,50,50,5,9
Gearbox,29,,11,,,,,50,50,18,6
Gearbox,30,,16,,,,,85,85,23,10
Gearbox,30,,13,,,,,75,75,19,7
Gearbox,31,,79,,,,,90,90,8,8
Gearbox,31,,79,,,,,75,75,19,7
Gearbox GT,32,,478,,,,,75,75,21,5
Gearbox GT,32,,452,,,,,70,70,3,5
Gearbox GT,33,,465,,,,,60,60,30,10
Gearbox GT,33,,440,,,,,60,60,15,4
Gearbox GT,34,,425,,,,,60,60,24,10
Gearbox GT,34,,438,,,,,60,60,7,6
Gearbox GT,35,,418,,,,,70,70,21,10
Gearbox GT,35,,400,,,,,70,70,7,10
Gearbox GT,36,,399,,,,,70,70,27,5
Gearbox GT,36,,370,,,,,90,90,2,4
Gearbox GT,37,,320,,,,,65,65,3,10
Gearbox GT,37,,291,,,,,60,60,19,5
Gearbox GT,38,,368,,,,,85,85,4,12
Gearbox GT,38,,345,,,,,65,65,18,11
Gearbox GT,39,,279,,,,,50,50,5,9
Gearbox GT,39,,278,,,,,50,50,18,6
Gearbox GT,40,,247,,,,,85,85,23,10
Gearbox GT,40,,247,,,,,75,75,19,7
Gearbox GT,41,,232,,,,,90,90,8,8
Gearbox GT,41,,230,,,,,75,75,19,7
Gearbox GT,42,,233,,,,,75,75,21,5
Gearbox GT,42,,232,,,,,70,70,3,5
Gearbox GT,43,,250,,,,,60,60,30,10
Gearbox GT,43,,249,,,,,60,60,15,4
Gearbox GT,44,,218,,,,,60,60,24,10
Gearbox GT,44,,216,,,,,60,60,7,6
Gearbox GT,45,,187,,,,,70,70,21,10
Gearbox GT,45,,185,,,,,70,70,7,10
Gearbox GT,46,,163,,,,,70,70,27,5
Gearbox GT,46,,162,,,,,90,90,2,4
Gearbox GT,47,,131,,,,,65,65,3,10
Gearbox GT,47,,131,,,,,60,60,19,5
Gearbox GT,48,,112,,,,,85,85,4,12
Gearbox GT,48,,110,,,,,65,65,18,11
Gearbox GT,49,,75,,,,,44,45,5,9
Gearbox GT,49,,73,,,,,50,50,18,6
Gearbox GT,50,,50,,,,,85,85,23,10
Gearbox GT,50,,49,,,,,75,75,19,7
Gearbox GT,51,,25,,,,,90,90,8,8
Gearbox GT,51,,22,,,,,75,75,19,7
GearboxGET,52,,632,,,,,63,63,23,10
GearboxGET,52,,622,,,,,60,60,19,7
GearboxGET,53,,1000,,,,,90,90,8,8
GearboxGET,53,,963,,,,,75,75,19,7
GearboxGET,54,,753,,,,,86,86,21,5
GearboxGET,54,,723,,,,,83,83,3,5
GearboxGET,55,,951,,,,,73,73,30,10
GearboxGET,55,,945,,,,,73,73,15,4
GearboxGET,56,,649,,,,,100,100,24,10
GearboxGET,56,,640,,,,,100,100,7,6
GearboxGET,57,,823,,,,,90,90,21,10
GearboxGET,57,,815,,,,,90,90,7,10
GearboxGET,58,,66,,,,,70,70,27,5
GearboxGET,58,,59,,,,,90,90,2,4
GearboxGET,59,,78,,,,,70,70,3,10
GearboxGET,59,,71,,,,,70,70,19,5
GearboxGET,60,,38,,,,,85,85,4,12
GearboxGET,60,,33,,,,,80,80,18,11
GearboxGET,61,,86,,,,,65,65,5,9
GearboxGET,61,,81,,,,,60,60,18,6
GearboxGET,62,,100,,,,,85,85,23,10
GearboxGET,62,,90,,,,,75,75,19,7
GearboxGET,63,,54,,,,,90,90,8,8
GearboxGET,63,,50,,,,,75,75,19,7
Brakes,2,,,940,,,,85,85,9,7
Brakes,2,,,939,,,,85,85,4,5
Brakes,3,,,920,,,,65,65,29,3
Brakes,3,,,918,,,,65,65,18,7
Brakes,4,,,844,,,,75,75,36,7
Brakes,4,,,844,,,,65,65,9,9
Brakes,5,,,950,,,,70,70,9,11
Brakes,5,,,948,,,,75,75,23,8
Brakes,6,,,900,,,,75,75,3,5
Brakes,6,,,899,,,,75,75,16,4
Brakes,7,,,680,,,,85,85,29,4
Brakes,7,,,679,,,,65,65,37,9
Brakes,8,,,638,,,,75,75,15,11
Brakes,8,,,637,,,,65,65,31,8
Brakes,9,,,742,,,,85,85,31,10
Brakes,9,,,741,,,,80,80,22,9
Brakes,10,,,840,,,,70,70,22,8
Brakes,10,,,838,,,,70,70,4,11
Brakes,11,,,870,,,,70,70,8,3
Brakes,11,,,870,,,,80,80,7,10
Brakes,12,,,340,,,,85,85,9,10
Brakes,12,,,340,,,,85,85,4,6
Brakes,13,,,369,,,,65,65,29,3
Brakes,13,,,366,,,,65,65,18,5
Brakes,14,,,345,,,,75,75,36,6
Brakes,14,,,343,,,,65,65,9,3
Brakes,15,,,248,,,,70,70,9,7
Brakes,15,,,248,,,,75,75,23,8
Brakes,16,,,230,,,,75,75,3,7
Brakes,16,,,227,,,,75,75,16,9
Brakes,17,,,212,,,,85,85,29,9
Brakes,17,,,211,,,,65,65,37,8
Brakes,18,,,282,,,,75,75,15,5
Brakes,18,,,280,,,,65,65,31,6
Brakes,19,,,223,,,,85,85,31,12
Brakes,19,,,222,,,,80,80,22,4
Brakes,20,,,253,,,,60,60,22,10
Brakes,20,,,252,,,,65,65,4,4
Brakes,21,,,247,,,,70,70,8,12
Brakes,21,,,244,,,,80,80,7,9
Brakes,22,,,218,,,,70,70,27,11
Brakes,22,,,217,,,,65,65,25,3
Brakes,23,,,207,,,,75,75,5,12
Brakes,23,,,207,,,,65,65,24,4
Brakes,24,,,142,,,,70,70,28,5
Brakes,24,,,140,,,,70,70,8,11
Brakes,25,,,58,,,,75,75,5,8
Brakes,25,,,57,,,,75,75,16,10
Brakes,26,,,214,,,,70,70,5,8
Brakes,26,,,214,,,,60,60,2,11
Brakes,27,,,193,,,,75,75,1,10
Brakes,27,,,192,,,,90,90,30,7
Brakes,28,,,117,,,,75,75,24,7
Brakes,28,,,115,,,,65,65,15,9
Brakes,29,,,2,,,,50,50,30,11
Brakes,29,,,1,,,,55,55,16,7
Brakes,30,,,6,,,,70,70,2,11
Brakes,30,,,5,,,,75,75,8,12
Brakes,31,,,63,,,,75,75,15,12
Brakes,31,,,61,,,,75,75,8,12
Brakes GT,32,,,396,,,,70,70,27,11
Brakes GT,32,,,391,,,,65,65,25,3
Brakes GT,33,,,394,,,,75,75,5,12
Brakes GT,33,,,392,,,,65,65,24,4
Brakes GT,34,,,324,,,,70,70,28,5
Brakes GT,34,,,322,,,,70,70,8,11
Brakes GT,35,,,338,,,,75,75,5,8
Brakes GT,35,,,335,,,,75,75,16,10
Brakes GT,36,,,301,,,,70,70,5,8
Brakes GT,36,,,298,,,,60,60,2,11
Brakes GT,37,,,324,,,,75,75,1,10
Brakes GT,37,,,324,,,,90,90,30,7
Brakes GT,38,,,277,,,,75,75,24,7
Brakes GT,38,,,276,,,,65,65,15,9
Brakes GT,39,,,259,,,,50,50,30,11
Brakes GT,39,,,257,,,,55,55,16,7
Brakes GT,40,,,263,,,,70,70,2,11
Brakes GT,40,,,260,,,,75,75,8,12
Brakes GT,41,,,233,,,,75,75,15,12
Brakes GT,41,,,232,,,,75,75,8,12
Brakes GT,42,,,169,,,,70,70,27,11
Brakes GT,42,,,166,,,,65,65,25,3
Brakes GT,43,,,155,,,,75,75,5,12
Brakes GT,43,,,153,,,,65,65,24,4
Brakes GT,44,,,140,,,,70,70,28,5
Brakes GT,44,,,138,,,,70,70,8,11
Brakes GT,45,,,110,,,,75,75,5,8
Brakes GT,45,,,181,,,,75,75,16,10
Brakes GT,46,,,117,,,,70,70,5,8
Brakes GT,46,,,116,,,,60,60,2,11
Brakes GT,47,,,110,,,,75,75,1,10
Brakes GT,47,,,109,,,,90,90,30,7
Brakes GT,48,,,85,,,,75,75,24,7
Brakes GT,48,,,85,,,,65,65,15,9
Brakes GT,49,,,96,,,,50,40,30,11
Brakes GT,49,,,96,,,,55,55,16,7
Brakes GT,50,,,64,,,,70,70,2,11
Brakes GT,50,,,61,,,,75,75,8,12
Brakes GT,51,,,44,,,,75,75,15,12
Brakes GT,51,,,42,,,,75,75,8,12
BrakesGET,52,,,780,,,,85,85,2,11
BrakesGET,52,,,776,,,,85,85,8,12
BrakesGET,53,,,750,,,,75,75,15,12
BrakesGET,53,,,743,,,,75,75,8,12
BrakesGET,54,,,968,,,,68,68,27,11
BrakesGET,54,,,968,,,,65,65,25,3
BrakesGET,55,,,832,,,,80,80,5,12
BrakesGET,55,,,827,,,,80,80,24,4
BrakesGET,56,,,767,,,,70,70,28,5
BrakesGET,56,,,763,,,,69,69,8,11
BrakesGET,57,,,601,,,,82,82,5,8
BrakesGET,57,,,600,,,,75,75,16,10
BrakesGET,58,,,92,,,,70,70,5,8
BrakesGET,58,,,83,,,,65,65,2,11
BrakesGET,59,,,112,,,,90,90,1,10
BrakesGET,59,,,110,,,,75,75,30,7
BrakesGET,60,,,82,,,,75,75,24,7
BrakesGET,60,,,82,,,,70,70,15,9
BrakesGET,61,,,32,,,,70,70,30,11
BrakesGET,61,,,30,,,,65,65,16,7
BrakesGET,62,,,40,,,,70,70,2,11
BrakesGET,62,,,38,,,,75,75,8,12
BrakesGET,63,,,68,,,,75,75,15,12
BrakesGET,63,,,65,,,,75,75,8,12
Suspension,2,,,,,966,,85,85,16,3
Suspension,2,,,,,963,,65,65,24,6
Suspension,3,,,,,960,,85,85,29,12
Suspension,3,,,,,959,,85,85,4,12
Suspension,4,,,,,802,,85,85,35,11
Suspension,4,,,,,801,,65,65,12,12
Suspension,5,,,,,992,,80,80,28,3
Suspension,5,,,,,990,,65,65,21,9
Suspension,6,,,,,950,,75,75,2,7
Suspension,6,,,,,947,,70,70,14,10
Suspension,7,,,,,866,,70,70,14,3
Suspension,7,,,,,865,,70,70,20,11
Suspension,8,,,,,780,,85,85,6,9
Suspension,8,,,,,777,,70,70,12,10
Suspension,9,,,,,698,,70,70,7,4
Suspension,9,,,,,695,,65,65,40,8
Suspension,10,,,,,630,,85,85,27,4
Suspension,10,,,,,600,,70,70,11,4
Suspension,11,,,,,670,,65,65,16,9
Suspension,11,,,,,670,,70,70,8,7
Suspension,12,,,,,387,,85,85,16,5
Suspension,12,,,,,385,,65,65,24,9
Suspension,13,,,,,407,,85,85,29,7
Suspension,13,,,,,407,,85,85,4,4
Suspension,14,,,,,270,,85,85,35,5
Suspension,14,,,,,270,,65,65,12,10
Suspension,15,,,,,369,,80,80,28,8
Suspension,15,,,,,368,,65,65,21,6
Suspension,16,,,,,237,,75,75,2,4
Suspension,16,,,,,236,,70,70,14,6
Suspension,17,,,,,230,,70,70,14,6
Suspension,17,,,,,230,,70,70,20,11
Suspension,18,,,,,235,,85,85,6,4
Suspension,18,,,,,233,,70,70,12,4
Suspension,19,,,,,212,,70,70,7,6
Suspension,19,,,,,209,,65,65,40,11
Suspension,20,,,,,200,,65,65,27,4
Suspension,20,,,,,200,,65,65,11,10
Suspension,21,,,,,200,,65,65,16,10
Suspension,21,,,,,197,,70,70,8,10
Suspension,22,,,,,203,,80,80,4,5
Suspension,22,,,,,200,,90,90,28,7
Suspension,23,,,,,187,,65,65,22,5
Suspension,23,,,,,186,,80,80,13,7
Suspension,24,,,,,91,,70,70,2,9
Suspension,24,,,,,91,,80,80,6,8
Suspension,25,,,,,205,,65,65,7,8
Suspension,25,,,,,205,,90,90,9,6
Suspension,26,,,,,117,,90,90,12,3
Suspension,26,,,,,115,,85,85,21,12
Suspension,27,,,,,140,,85,85,5,11
Suspension,27,,,,,140,,75,75,19,5
Suspension,28,,,,,100,,70,70,7,6
Suspension,28,,,,,98,,75,75,25,4
Suspension,29,,,,,19,,80,80,19,5
Suspension,29,,,,,19,,75,75,14,3
Suspension,30,,,,,64,,65,65,19,9
Suspension,30,,,,,62,,65,65,13,3
Suspension,31,,,,,93,,60,60,12,4
Suspension,31,,,,,92,,65,65,13,3
Suspension GT,32,,,,,362,,90,80,4,5
Suspension GT,32,,,,,359,,85,90,28,7
Suspension GT,33,,,,,350,,80,65,22,5
Suspension GT,33,,,,,340,,85,80,13,7
Suspension GT,34,,,,,364,,75,70,2,9
Suspension GT,34,,,,,363,,65,80,6,8
Suspension GT,35,,,,,273,,90,65,7,8
Suspension GT,35,,,,,270,,85,90,9,6
Suspension GT,36,,,,,303,,65,90,12,3
Suspension GT,36,,,,,300,,95,85,21,12
Suspension GT,37,,,,,286,,65,85,5,11
Suspension GT,37,,,,,283,,65,75,19,5
Suspension GT,38,,,,,270,,80,70,7,6
Suspension GT,38,,,,,270,,80,75,25,4
Suspension GT,39,,,,,257,,85,80,19,5
Suspension GT,39,,,,,254,,80,75,14,3
Suspension GT,40,,,,,253,,75,65,19,9
Suspension GT,40,,,,,251,,65,65,13,3
Suspension GT,41,,,,,233,,65,60,12,4
Suspension GT,41,,,,,230,,60,65,13,3
Suspension GT,42,,,,,350,,75,80,4,5
Suspension GT,42,,,,,335,,70,90,28,7
Suspension GT,43,,,,,345,,75,65,22,5
Suspension GT,43,,,,,270,,75,80,13,7
Suspension GT,44,,,,,251,,70,70,2,9
Suspension GT,44,,,,,276,,65,80,6,8
Suspension GT,45,,,,,310,,65,65,7,8
Suspension GT,45,,,,,300,,90,90,9,6
Suspension GT,46,,,,,245,,65,90,12,3
Suspension GT,46,,,,,222,,85,85,21,12
Suspension GT,47,,,,,210,,65,85,5,11
Suspension GT,47,,,,,214,,90,75,19,5
Suspension GT,48,,,,,197,,80,70,7,6
Suspension GT,48,,,,,168,,90,75,25,4
Suspension GT,49,,,,,140,,65,80,19,5
Suspension GT,49,,,,,120,,35,75,14,3
Suspension GT,50,,,,,100,,85,65,19,9
Suspension GT,50,,,,,67,,85,65,13,3
Suspension GT,51,,,,,45,,65,60,12,4
Suspension GT,51,,,,,56,,65,65,13,3
SuspensionGET,52,,,,,846,,70,70,19,9
SuspensionGET,52,,,,,842,,70,70,13,3
SuspensionGET,53,,,,,803,,65,60,12,4
SuspensionGET,53,,,,,798,,60,65,13,3
SuspensionGET,54,,,,,693,,80,80,4,5
SuspensionGET,54,,,,,685,,78,78,28,7
SuspensionGET,55,,,,,653,,60,60,22,5
SuspensionGET,55,,,,,645,,60,60,13,7
SuspensionGET,56,,,,,914,,100,100,2,9
SuspensionGET,56,,,,,904,,100,100,6,8
SuspensionGET,57,,,,,976,,73,73,7,8
SuspensionGET,57,,,,,946,,70,70,9,6
SuspensionGET,58,,,,,102,,90,90,12,3
SuspensionGET,58,,,,,98,,85,85,21,12
SuspensionGET,59,,,,,66,,85,85,5,11
SuspensionGET,59,,,,,63,,90,90,19,5
SuspensionGET,60,,,,,54,,80,80,7,6
SuspensionGET,60,,,,,50,,90,90,25,4
SuspensionGET,61,,,,,30,,80,80,19,5
SuspensionGET,61,,,,,26,,75,75,14,3
SuspensionGET,62,,,,,110,,85,85,19,9
SuspensionGET,62,,,,,102,,85,85,13,3
SuspensionGET,63,,,,,110,,65,65,12,4
SuspensionGET,63,,,,,109,,65,65,13,3
Front Wing,2,,,,,,820,65,65,27,7
Front Wing,2,,,,,,819,85,85,19,9
Front Wing,3,,,,,,1000,65,65,15,10
Front Wing,3,,,,,,1000,65,65,36,11
Front Wing,4,,,,,,948,85,85,28,3
Front Wing,4,,,,,,948,75,75,5,10
Front Wing,5,,,,,,920,80,80,6,9
Front Wing,5,,,,,,919,75,75,27,10
Front Wing,6,,,,,,982,75,75,17,10
Front Wing,6,,,,,,982,65,65,19,3
Front Wing,7,,,,,,680,70,70,20,9
Front Wing,7,,,,,,677,85,85,19,6
Front Wing,8,,,,,,820,65,65,38,6
Front Wing,8,,,,,,817,75,75,16,12
Front Wing,9,,,,,,890,85,85,40,8
Front Wing,9,,,,,,888,80,80,17,4
Front Wing,10,,,,,,790,85,85,29,12
Front Wing,10,,,,,,790,65,65,25,4
Front Wing,11,,,,,,826,80,80,40,3
Front Wing,11,,,,,,823,65,65,4,9
Front Wing,12,,,,,,253,65,65,27,5
Front Wing,12,,,,,,250,85,85,19,8
Front Wing,13,,,,,,230,65,65,15,8
Front Wing,13,,,,,,227,65,65,36,9
Front Wing,14,,,,,,393,85,85,28,10
Front Wing,14,,,,,,393,75,75,5,4
Front Wing,15,,,,,,328,80,80,6,11
Front Wing,15,,,,,,326,75,75,27,8
Front Wing,16,,,,,,277,75,75,17,8
Front Wing,16,,,,,,276,65,65,19,5
Front Wing,17,,,,,,253,70,70,20,11
Front Wing,17,,,,,,252,85,85,19,6
Front Wing,18,,,,,,223,65,65,38,3
Front Wing,18,,,,,,222,75,75,16,6
Front Wing,19,,,,,,235,85,85,40,12
Front Wing,19,,,,,,233,80,80,17,12
Front Wing,20,,,,,,249,45,45,29,3
Front Wing,20,,,,,,248,70,70,25,3
Front Wing,21,,,,,,220,80,80,40,11
Front Wing,21,,,,,,215,65,65,4,4
Front Wing,22,,,,,,23,70,70,22,12
Front Wing,22,,,,,,21,70,70,6,3
Front Wing,23,,,,,,23,75,75,1,6
Front Wing,23,,,,,,21,60,60,1,3
Front Wing,24,,,,,,23,70,70,13,12
Front Wing,24,,,,,,23,65,65,26,3
Front Wing,25,,,,,,23,90,90,3,6
Front Wing,25,,,,,,23,90,90,10,11
Front Wing,26,,,,,,22,70,70,19,3
Front Wing,26,,,,,,22,80,80,25,12
Front Wing,27,,,,,,23,65,65,3,7
Front Wing,27,,,,,,21,60,60,4,11
Front Wing,28,,,,,,23,80,80,22,6
Front Wing,28,,,,,,22,80,80,14,12
Front Wing,29,,,,,,23,70,70,30,3
Front Wing,29,,,,,,22,60,60,29,3
Front Wing,30,,,,,,23,65,65,23,12
Front Wing,30,,,,,,22,70,70,24,8
Front Wing,31,,,,,,23,65,65,25,11
Front Wing,31,,,,,,23,70,70,24,8
Front WingGET,52,,,,,,813,70,70,29,3
Front WingGET,52,,,,,,803,65,65,25,3
Front WingGET,53,,,,,,737,80,80,40,11
Front WingGET,53,,,,,,735,65,65,4,4
Front WingGET,54,,,,,,828,75,75,22,12
Front WingGET,54,,,,,,826,73,73,6,3
Front WingGET,55,,,,,,948,60,60,1,6
Front WingGET,55,,,,,,945,60,60,1,3
Front WingGET,56,,,,,,653,80,80,13,12
Front WingGET,56,,,,,,635,80,80,26,3
Front WingGET,57,,,,,,749,76,76,3,6
Front WingGET,57,,,,,,743,75,75,10,11
Front WingGET,58,,,,,,45,70,70,19,3
Front WingGET,58,,,,,,44,80,80,25,12
Front WingGET,59,,,,,,33,65,65,3,7
Front WingGET,59,,,,,,29,65,65,4,11
Front WingGET,60,,,,,,40,80,80,22,6
Front WingGET,60,,,,,,40,80,80,14,12
Front WingGET,61,,,,,,59,70,70,30,3
Front WingGET,61,,,,,,54,65,65,29,3
Front WingGET,62,,,,,,39,65,65,23,12
Front WingGET,62,,,,,,32,70,70,24,8
Front WingGET,63,,,,,,63,70,70,25,11
Front WingGET,63,,,,,,59,70,70,24,8
Rear Wing,2,,,,958,,,75,75,40,11
Rear Wing,2,,,,955,,,75,75,14,9
Rear Wing,3,,,,840,,,75,75,26,12
Rear Wing,3,,,,837,,,65,65,6,3
Rear Wing,4,,,,866,,,70,70,22,11
Rear Wing,4,,,,866,,,70,70,35,5
Rear Wing,5,,,,882,,,75,75,18,10
Rear Wing,5,,,,881,,,85,85,32,9
Rear Wing,6,,,,860,,,80,80,20,3
Rear Wing,6,,,,860,,,65,65,10,4
Rear Wing,7,,,,820,,,85,85,39,12
Rear Wing,7,,,,817,,,65,65,3,3
Rear Wing,8,,,,946,,,80,80,17,8
Rear Wing,8,,,,943,,,70,70,15,8
Rear Wing,9,,,,900,,,75,75,7,11
Rear Wing,9,,,,899,,,85,85,22,10
Rear Wing,10,,,,870,,,70,70,4,10
Rear Wing,10,,,,867,,,70,70,35,7
Rear Wing,11,,,,602,,,65,65,35,10
Rear Wing,11,,,,601,,,65,65,20,10
Rear Wing,12,,,,288,,,75,75,40,12
