First Name,Last Name,Gender,Team,Nationality,DOB,Backstory,Reputation,Race management,Financial,Loyalty,Job Security,Contract Start,Contract End,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Peak Age,Peak Duration,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships
Hugo,Cumberland,M,26,UK,23/04/1974,Ex-Engineer,8,14,8,14,60,2016,2020,5,11,8,0,0,5,57,3,2,0,0,0,2,1,0,0,0
Martino,Pozzi,M,27,Italy,22/02/1954,Business,14,18,14,15,100,2015,2020,2,10,6,0,0,2,67,2,0,0,0,0,0,0,0,0,0
Vincent,Vallieres,M,28,France,11/12/1979,Business,12,10,10,12,26,2016,2018,2,7,4,3,0,1,56,4,0,0,0,0,0,0,0,0,0
Rahul,Kapoor,M,29,India,08/03/1976,Ex-Engineer,14,18,13,15,90,2016,2019,1,11,6,0,0,8,55,1,4,0,0,0,1,1,0,0,0
Darcy,White,M,30,UK,08/09/1963,Ex-Driver,13,7,12,11,100,2016,2017,1,9,6,0,0,1,59,1,1,0,0,0,0,0,0,0,0
Carmen,Quintana,F,31,Spain,27/05/1954,Ex-Driver,75,10,17,18,80,2015,2019,2,4,4,0,0,8,59,5,0,0,0,0,0,0,0,0,0
Alex,Peters,M,32,UnitedStates,20/04/1970,Legal,12,10,10,3,80,2015,2019,2,4,4,0,0,8,62,3,0,0,0,0,0,0,0,0,0
Rick,Stone,F,33,UK,11/03/1980,Business,15,11,17,6,80,2015,2019,1,1,2,1,0,8,61,2,0,0,0,0,0,0,0,0,0
Mitsu,Yamanashi,F,34,Japan,12/06/1992,Business,10,12,2,8,80,2015,2019,4,3,2,0,0,8,55,4,0,0,0,0,0,0,0,0,0
Adele,Verbeke,F,35,Netherlands,11/02/1967,Ex-Engineer,12,11,20,2,80,2015,2019,2,3,4,0,0,8,61,3,0,0,0,0,0,0,0,0,0
Ed,Schulte,M,36,Germany,17/02/1978,Ex-Engineer,13,7,5,12,80,2015,2019,1,5,3,0,0,8,65,1,0,0,0,0,0,0,0,0,0
Morgan,Everett,M,37,UnitedStates,22/06/1966,Business,33,12,6,16,80,2015,2019,3,3,6,3,0,8,68,2,0,0,0,0,0,0,0,0,0
Paulina,Bartosiewicz,F,38,Poland,15/09/1969,Ex-Driver,60,20,16,14,80,2015,2019,2,10,8,1,0,8,55,5,243,62,79,53,24,10,1,1291,2
Richard,Roy,M,39,Canada,02/01/1974,Business,22,1,6,16,80,2015,2019,1,8,6,0,0,8,65,5,0,0,0,0,0,0,0,0,0
Nigella,Ford,F,40,UK,08/10/1983,Business,45,16,16,17,80,2015,2019,1,8,5,1,0,8,67,3,0,0,0,0,0,0,0,0,0
Matteo,Romano,M,41,Italy,12/03/1983,Ex-Engineer,25,18,13,14,80,2015,2019,4,7,1,1,0,8,55,5,0,0,0,0,0,0,0,0,0
Madison,Maddox,F,42,UnitedStates,13/05/1979,Business,25,15,20,12,80,2015,2019,5,3,3,0,0,8,69,3,0,0,0,0,0,0,0,0,0
Magnus,Jakobsen,M,43,Norway,02/04/1990,Business,27,12,15,16,80,2015,2019,1,12,8,1,0,8,55,3,0,0,0,0,0,0,0,0,0
Susan,Williams,F,44,UK,06/05/1974,Business,36,2,15,16,80,2015,2019,5,3,11,1,0,8,66,2,0,0,0,0,0,0,0,0,0
Shiro,Okayama,M,45,Japan,04/07/1990,Business,60,15,20,16,80,2015,2019,2,3,6,1,0,8,69,1,0,0,0,0,0,0,0,0,0
Antonio,Mello,M,46,Spain,03/02/1970,Ex-Driver,60,20,16,14,80,2015,2019,0,2,4,0,0,8,66,5,156,12,44,32,12,9,1,1167,1
Nicole,Dubois,F,47,France,15/01/1974,Ex-Engineer,60,20,16,14,80,2015,2019,2,10,8,1,0,8,66,3,156,12,44,32,12,9,1,1167,1
Judith,Powers,F,48,UnitedStates,02/02/1988,Ex-Driver,60,20,16,14,80,2015,2019,1,7,4,1,0,8,64,4,156,12,44,32,12,9,1,1167,1
Alexa,Smith,F,49,France,11/09/1977,Business,60,20,16,14,80,2015,2019,2,10,8,1,0,8,59,2,156,12,44,32,12,9,1,1167,1
Dong,Chu,M,50,UnitedStates,15/09/1974,Ex-Driver,60,20,16,14,80,2015,2019,2,10,8,1,0,8,65,5,156,12,44,32,12,9,1,1167,1
Carrie,Jones,F,51,UK,15/09/1988,Ex-Driver,60,20,16,14,80,2015,2019,2,10,8,1,0,8,55,3,156,12,44,32,12,9,1,1167,1
Wulf,Martin,M,52,Germany,14/10/1968,Ex-Engineer,82,20,16,14,80,2015,2019,0,5,5,1,0,10,58,2,156,12,44,32,12,9,1,1167,1
Ono,Utsuwa,F,53,Japan,14/08/1969,Business,76,20,16,14,80,2015,2019,2,1,5,0,0,0,66,1,156,12,44,32,12,9,1,1167,1
Torben,Rasmussen,M,54,Denmark,18/01/1974,Ex-Driver,50,20,16,14,80,2015,2019,0,3,7,0,0,0,56,4,156,12,44,32,12,9,1,1167,1
Leslie,Coulomb,F,55,France,13/03/1978,Ex-Engineer,73,20,16,14,80,2015,2019,3,4,4,1,0,0,55,3,156,12,44,32,12,9,1,1167,1
Billy,Martin,M,56,UK,04/03/1980,Ex-Driver,34,20,16,14,80,2015,2019,4,6,7,0,0,1,60,2,156,12,44,32,12,9,1,1167,1
Lola,Mills,F,57,UK,17/12/1989,Business,61,20,16,14,80,2015,2019,1,8,6,1,0,0,62,1,156,12,44,32,12,9,1,1167,1
Claire,Pierrat,F,58,France,29/05/1963,Legal,21,20,16,14,80,2015,2019,2,4,11,0,0,0,56,2,156,12,44,32,12,9,1,1167,1
Xiang,Wuying,M,59,China,01/08/1975,Ex-Driver,33,20,16,14,80,2015,2019,2,9,8,0,0,3,67,1,156,12,44,32,12,9,1,1167,1
Yenina,Pavlovna,F,60,RussianFederation,12/08/1986,Business,13,20,16,14,80,2015,2019,0,1,5,3,0,0,52,5,156,12,44,32,12,9,1,1167,1
Kun,Young Nam,F,61,SouthKorea,22/03/1988,Business,57,20,16,14,80,2015,2019,2,2,6,1,0,0,55,4,156,12,44,32,12,9,1,1167,1
Philippe,Deprez,M,62,Belgium,03/03/1962,Business,36,20,16,14,80,2015,2019,5,4,11,0,0,0,63,2,156,12,44,32,12,9,1,1167,1
Daogang,Salihu,M,63,China,21/01/1971,Legal,50,4,13,10,44,2015,2019,1,1,1,3,0,8,67,4,0,0,0,0,0,0,0,0,0
Rose,Dedyn,F,64,UK,18/12/1970,Ex-Driver,15,12,9,8,26,2015,2019,0,3,11,4,0,2,63,1,0,0,0,0,0,0,0,0,0
Benjamin,Kuqi,M,65,SriLanka,08/08/1988,Ex-Engineer,79,4,12,13,91,2015,2019,4,5,9,0,0,7,68,1,0,0,0,0,0,0,0,0,0
Kew,Jean,M,66,Netherlands,21/02/1978,Ex-Driver,32,10,4,13,9,2015,2019,4,1,6,0,0,8,64,5,0,0,0,0,0,0,0,0,0
Homar,Sinani,M,67,Peru,29/08/1981,Business,54,5,14,9,47,2015,2019,5,1,4,0,0,5,57,3,0,0,0,0,0,0,0,0,0
Richard,Tushe,M,68,Ukraine,10/02/1987,Ex-Engineer,85,4,10,7,10,2015,2019,2,2,0,0,0,7,56,2,0,0,0,0,0,0,0,0,0
Il'ia,Lekstakaj,M,69,Kazakhstan,15/03/1965,Ex-Driver,84,4,2,2,11,2015,2019,3,0,3,0,0,3,58,4,0,0,0,0,0,0,0,0,0
Samuel,Youcef,M,70,Denmark,26/06/1979,Ex-Driver,50,8,12,3,46,2015,2019,5,6,0,0,0,0,59,3,0,0,0,0,0,0,0,0,0
Alonso,Behrami,M,71,Mexico,19/09/1973,Business,78,11,14,11,20,2015,2019,2,5,4,4,0,1,64,1,0,0,0,0,0,0,0,0,0
Jheimy,Lila,M,72,Brazil,03/06/1979,Ex-Engineer,76,8,5,7,53,2015,2019,0,4,4,4,0,5,62,2,0,0,0,0,0,0,0,0,0
Randell,Carneiro,M,73,Netherlands,06/12/1963,Ex-Engineer,62,8,8,5,24,2015,2019,2,3,9,3,0,1,57,2,0,0,0,0,0,0,0,0,0
