First Name,Last Name,Gender,Championship ID,Status,Car,Nationality,DOB,Traits,Fame,Scouting Level,Weight,Wages,Contract End,Contract Start,Qualifying Bonus Amount,Qualifying Bonus Position,Race Bonus Amount,Race Bonus Position,Champion Bonus,Pay Driver,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Optimal Zone,Driving Style,Driver Number,Races,Wins,Podiums,Poles,DNFs,DNFs via error,DNS,Career Points,Championships,Form,Experience,Morale,Obedience,Potential,Patience,Chairman Popularity,Fans Popularity,Sponsor Popularity,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair,Body Type,Hat,Helmet Style,Helmet Primary Colour,Helmet Secondary Colour,Helmet Tertiary Colour,Marketability,Brake Supplier Preference,Improvement Rate,Peak Duration,Peak Age,Desired Championships,Desired Wins,Desired Earnings,Desired Budget,Stars,Series Preference
Clémence,Boutin,F,3,Equal,,France,30/06/1980,6,-1,0,68,2.95,2016,2016,0,,0,,0,0,11.86,8,8.25,15.66,10.84,11.5,4.72,11.28,7.4,0.56,16,,,,,,,,,,,,75,54,81,0,4,,,,3,3,7,0,0,4,0,2,0,7,3,7,0,2,3,4,33,2,1,0,100,2.486388889,Any
Dima,Bakaj,M,3,Reserve,,Poland,28/06/1989,292,-1,0,76,0.57,2016,2016,0,,0,,0,0,8.7,1.25,1.9,5.8,3.6,2.3,4,8.1,5.7,0.88,31,,,,,,,,,,,,22,14,75,0,2,23,21,83,0,4,8,0,0,1,0,3,0,5,8,4,21,5,11,1,30,2,1,0,100,1.148611111,Any
Hudson,Cassino,M,4,Equal,,Italy,18/03/1992,1,-1,0,78,1.46,2016,2016,0,,0,,0,0,8.12,12.4,7.3,7.5,8.24,1.9,14.5,12.2,4,0.65,98,,,,,,,,,,,,61,67,13,0,3,,,,0,4,7,1,0,1,0,4,0,10,1,1,11,2,12,1,30,2,1,0,100,2.115555556,Any
Bill,Coops,M,4,Equal,,Australia,02/11/1989,11,-1,0,74,1.54,2016,2016,0,,0,,0,0,6.14,8.13,17.23,16.43,6.88,4.45,5.5,6.8,5.3,0.52,98,,,,,,,,,,,,61,57,13,0,3,,,,1,7,4,1,0,1,0,4,0,10,1,1,21,2,13,1,32,2,1,0,100,2.135,Any
Aksella,Lepik,F,4,Reserve,,Estonia,14/06/1982,292,-1,0,76,0.46,2016,2016,0,,0,,0,0,1.7,2.25,5.9,1.8,7.6,2.3,2,7.1,1.7,0.67,31,,,,,,,,,,,,22,14,75,0,2,23,21,83,0,4,8,0,0,1,0,3,0,5,8,4,21,5,11,1,30,2,1,0,100,0.898611111,Any
Peter,Cole,M,5,Equal,1,UnitedStates,11/04/1994,5,-1,0,75,3.05,2016,2016,0,,0,,0,0,8.12,12.4,7.3,7.5,8.24,15.2,15.5,12.2,4,0.73,98,,,,,,,,,,,,61,67,13,0,3,,,,2,5,7,0,0,3,0,4,0,10,1,1,11,2,12,1,30,2,1,0,100,2.512777778,Any
Jenny,Davies,F,5,Equal,1,UK,05/10/1989,11,-1,0,74,3.12,2016,2016,0,,0,,0,0,6.11,14.2,16.4,6.1,4.55,3.21,17.8,3.2,19.5,0.53,98,,,,,,,,,,,,61,57,13,0,3,,,,1,7,4,1,0,1,0,4,0,10,1,1,21,2,13,1,32,2,1,0,100,2.529722222,Any
Lea,Benziger,F,5,Equal,1,Switzerland,11/02/1986,292,-1,0,76,0.68,2016,2016,0,,0,,0,0,1.7,2.25,5.9,1.8,7.6,10.4,10.3,7.1,1.7,0.79,31,,,,,,,,,,,,22,14,75,0,2,23,21,83,0,6,8,0,0,1,0,3,0,5,8,4,21,5,11,1,30,2,1,0,100,1.354166667,Any
Dieter,Keller,M,5,Equal,2,Germany,18/03/1992,1,-1,0,78,2.93,2016,2016,0,,0,,0,0,5.19,7,6,12.4,15.4,12.8,13.44,10.7,6.4,0.81,98,,,,,,,,,,,,61,67,13,0,3,,,,0,4,7,1,0,1,0,4,0,10,1,1,11,2,12,1,30,2,1,0,100,2.481388889,Any
Mathys,Leveque,M,5,Equal,2,France,01/06/1990,208,-1,0,74,2.65,2016,2016,0,,0,,0,0,6.14,8.13,17.23,16.43,6.88,14.45,5.5,6.8,5.3,0.78,98,,,,,,,,,,,,61,57,13,0,3,,,,1,7,4,1,0,5,0,4,0,10,1,1,21,2,13,1,32,2,1,0,100,2.412777778,Any
Heather,Summers,F,5,Equal,2,UK,14/06/1983,111,-1,0,76,2.67,2016,2016,0,,0,,0,0,14.2,11.9,8.45,4.7,12.1,1.4,16.4,5.8,12.1,0.59,31,,,,,,,,,,,,22,14,75,0,2,23,21,83,3,6,8,0,0,1,0,3,0,5,8,4,21,5,11,1,34,2,1,0,100,2.418055556,Any
Kurt,Jäger,M,6,Equal,1,Germany,14/08/1989,16; 310,-1,0,78,3.37,2016,2016,0,,0,,0,0,6.12,12.4,4.3,7.5,8.24,11.9,18.5,10.2,14.2,0.76,98,,,,,,,,,,,,61,67,13,0,3,,,,0,5,7,2,0,1,0,4,0,10,1,1,11,2,12,1,30,2,1,0,100,2.593333333,Any
Rico,Romano,M,6,Equal,1,Italy,02/11/1989,11,-1,0,74,1.87,2016,2016,0,,0,,0,0,6.14,8.13,17.23,11.43,6.88,14.45,5.5,4.8,5.3,0.46,98,,,,,,,,,,,,61,57,13,0,2,,,,1,7,4,1,0,2,0,4,0,10,1,1,21,2,13,1,32,2,1,0,100,2.218333333,Any
Sabrina,Cabrero,F,6,Equal,1,Spain,14/06/1982,292,-1,0,76,0.78,2016,2016,0,,0,,0,0,1.7,2.25,5.9,1.8,14.6,2.3,12,7.1,8.7,0.83,31,,,,,,,,,,,,22,14,75,0,2,23,21,83,0,4,8,0,0,1,0,3,0,5,8,4,21,5,11,1,30,2,1,0,100,1.565277778,Any
Caroline,Anderson,F,6,Equal,2,UK,18/03/1992,1,-1,0,78,2.39,2016,2016,0,,0,,0,0,7.12,8,8.3,6.5,8.24,10.62,14.5,11.2,10,0.69,98,,,,,,,,,,,,61,67,13,0,3,,,,0,3,7,1,0,1,0,4,0,10,1,1,11,2,12,1,30,2,1,0,100,2.346666667,Any
Mike,Hamm,M,6,Equal,2,UnitedStates,02/11/1989,287,-1,0,74,0.92,2016,2016,0,,0,,0,0,12.1,10.3,3.23,9.1,4.2,4.45,9.5,4.8,8.3,0.53,98,,,,,,,,,,,,61,57,13,0,3,,,,2,7,6,0,0,6,0,4,0,10,1,1,21,2,13,1,32,2,1,0,100,1.832777778,Any
Mia,Nowak,F,6,Equal,2,Germany,14/06/1983,297,-1,0,76,0.82,2016,2016,0,,0,,0,0,5.7,6.25,7.9,5.8,5.6,13.3,3.4,4.1,6.75,0.81,31,,,,,,,,,,,,22,14,75,0,2,23,21,83,1,2,8,0,0,1,0,3,0,5,8,4,21,5,11,1,30,2,1,0,100,1.633333333,Any
