ID,Staff Primary,Staff Secondary,Helmet Primary,Helmet Secondary,Helmet Tertiary,Normal UI,Highlighted UI,Pressed UI,Disabled UI,Secondary Normal UI,Secondary Highlighted UI,Secondary Pressed UI,Secondary Disabled UI,Car,Primary,Secondary,Tertiary,Trim,Livery Color 1,Livery Color 2,Livery Color 3,Livery Color 4,Livery Color 5,Livery Color 6,Livery Color 7,Livery Color 8,Livery Color 9,Livery Color 10,Light Sponsor 1,Light Sponsor 2,Light Sponsor 3,Light Sponsor 4,Dark Sponsor 1,Dark Sponsor 2,Dark Sponsor 3,Dark Sponsor 4
10,#1c1c1c,#70b15b,#1c1c1c,#70b15b,#93c175,#477638,#477638,#477638,#323232,#477638,#477638,#477638,#323232,#489352,#489352,#eaf3ed,#000000,#000000,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#082600,#489352,#6bec97,#917127,#cfae5e,#ffffff,#cfae5e,#6bec97,#917127,#0d0d0d,#082600,#554007,#232323
11,#e57f1d,#b52c1a,#e57f1d,#b52c1a,#e57f1d,#e57f1d,#e57f1d,#e57f1d,#323232,#e57f1d,#e57f1d,#e57f1d,#323232,#f3a50d,#f3a50d,#b52c1a,#0a0202,#0a0202,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#690000,#b52c1a,#e74242,#f3a50d,#fadb06,#f3a50d,#fadb06,#ffffff,#e74242,#0d0d0d,#510103,#712d0b,#232323
12,#317eb6,#d9d9d9,#317eb6,#d9d9d9,#317eb6,#317eb6,#317eb6,#317eb6,#323232,#317eb6,#317eb6,#317eb6,#323232,#317eb6,#ffffff,#2c6a9e,#232323,#e74242,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#2c6a9e,#5bb5ee,#690000,#b52c1a,#e74242,#ffffff,#e74242,#5bb5ee,#ADD5F7,#0d0d0d,#173d5c,#510103,#232323
13,#1c1c1c,#ab65a3,#1c1c1c,#ab65a3,#ab65a3,#ab65a3,#ab65a3,#ab65a3,#323232,#ab65a3,#ab65a3,#ab65a3,#323232,#000000,#232323,#8c49a9,#30003e,#5397a9,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#30003e,#8c49a9,#10597f,#5397a9,#5abcd6,#5397a9,#8c49a9,#ffffff,#8c8c8c,#0d0d0d,#30003e,#173d5c,#232323
14,#fadb06,#1c1c1c,#fadb06,#1c1c1c,#c3b73a,#fadb06,#c3b73a,#958f34,#323232,#fadb06,#fadb06,#fadb06,#323232,#fadb06,#fadb06,#0a0202,#ffffff,#8c8c8c,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#b52c1a,#c54e02,#f3a50d,#fadb06,#ffce00,#fadb06,#f3a50d,#ffffff,#8c8c8c,#0d0d0d,#712d0b,#724c0f,#232323
15,#5397a9,#ae2324,#5397a9,#ae2324,#c02925,#ae2324,#c02925,#8b1e20,#323232,#ae2324,#ae2324,#ae2324,#323232,#d71228,#d71228,#6ac7dd,#10597f,#0a0202,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#143f72,#10597f,#6ac7dd,#d71228,#f62828,#ffffff,#f62828,#6ac7dd,#57C98B,#0d0d0d,#173d5c,#510103,#232323
16,#917127,#1c1c1c,#917127,#1c1c1c,#b08e3f,#917127,#b08e3f,#755b1f,#323232,#917127,#917127,#917127,#323232,#917127,#232323,#917127,#917127,#232323,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#b28800,#917127,#2F2933,#30003e,#8c49a9,#836600,#8c49a9,#ffffff,#8c8c8c,#0d0d0d,#554007,#30003e,#232323
17,#46a4b2,#eb782d,#46a4b2,#eb782d,#1c1c1c,#46a4b2,#46a4b2,#46a4b2,#323232,#46a4b2,#46a4b2,#46a4b2,#323232,#46a4b2,#46a4b2,#c54e02,#eb782d,#232323,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#c54e02,#eb782d,#143f72,#46a4b2,#ADD5F7,#eb782d,#ADD5F7,#ffffff,#6ac7dd,#0d0d0d,#143f72,#712d0b,#232323
18,#c02925,#d9d9d9,#c02925,#d9d9d9,#d9d9d9,#aeaeae,#aeaeae,#aeaeae,#39384b,#aeaeae,#aeaeae,#aeaeae,#39384b,#d9d9d9,#e5e5e5,#c61a1a,#0a0202,#0a0202,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#690000,#c61a1a,#f62828,#FF6517,#fbbf2a,#ffffff,#fbbf2a,#f62828,#57C98B,#0d0d0d,#690000,#712d0b,#232323
19,#143f72,#fadb06,#143f72,#fadb06,#d9d9d9,#143f72,#143f72,#143f72,#36242f,#143f72,#143f72,#143f72,#36242f,#143f72,#143f72,#e5e5e5,#fbbf2a,#e5e5e5,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#143f72,#5397a9,#FF6517,#fbbf2a,#FF6517,#ffffff,#fbbf2a,#5397a9,#e5e5e5,#0d0d0d,#143f72,#712d0b,#232323
20,#2ab292,#d9d9d9,#2ab292,#d9d9d9,#58afb0,#1c9e98,#58afb0,#058076,#353835,#1c9e98,#58afb0,#058076,#353835,#2cbb99,#8c8c8c,#1c9874,#0a0202,#0a0202,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#44b069,#1c9874,#2cbb99,#BDDFB3,#F77A52,#ffffff,#F77A52,#BDDFB3,#2cbb99,#0d0d0d,#082600,#743624,#2F2933
21,#44b069,#BDDFB3,#44b069,#BDDFB3,#44b069,#BDDFB3,#BDDFB3,#BDDFB3,#353835,#BDDFB3,#BDDFB3,#BDDFB3,#353835,#44b069,#44b069,#2F2933,#FFFFA6,#2F2933,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#01A2A6,#57C98B,#FFFFA6,#2F2933,#A49A87,#BDDFB3,#A49A87,#01A2A6,#ffffff,#0d0d0d,#084041,#48443c,#2F2933
22,#332532,#FF6517,#7d7d7d,#FF6517,#332532,#FF6517,#FF6517,#FF6517,#36242f,#FF6517,#FF6517,#FF6517,#36242f,#8c8c8c,#8c8c8c,#FF6517,#332532,#0a0202,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#0d0d0d,#332532,#FF6517,#F77A52,#A49A87,#ffffff,#A49A87,#F77A52,#e74242,#0d0d0d,#712d0b,#48443c,#332532
23,#232323,#ccbe3f,#232323,#ccbe3f,#ffffff,#ccbe3f,#ccbe3f,#ccbe3f,#39384b,#ccbe3f,#ccbe3f,#ccbe3f,#39384b,#ccbe3f,#232323,#ccbe3f,#7F771F,#232323,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#9E0601,#FF6138,#ccbe3f,#7F771F,#FFF8AF,#FFF8AF,#FF6138,#ffffff,#A49A87,#0d0d0d,#7F771F,#690000,#232323
24,#8661a4,#FFEF24,#8661a4,#FFEF24,#8661a4,#8661a4,#8661a4,#8661a4,#3a211f,#8661a4,#8661a4,#8661a4,#3a211f,#834E70,#834E70,#332532,#FFEF24,#ffffff,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#332532,#9A1551,#834E70,#FFEF24,#FFF8AF,#FFEF24,#FFF8AF,#ffffff,#8c49a9,#0d0d0d,#4d0f2d,#4c4814,#332532
25,#1c9e98,#211E26,#1c9e98,#211E26,#1c9e98,#1c9e98,#1c9e98,#1c9e98,#443d3b,#1c9e98,#1c9e98,#1c9e98,#443d3b,#1c9e98,#211E26,#1c9e98,#211E26,#211E26,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#588C7E,#57C98B,#1c9e98,#211E26,#e74242,#ffffff,#e74242,#57C98B,#8c8c8c,#0d0d0d,#211e26,#232323,#232323
26,#e5e5e5,#44b069,#e5e5e5,#44b069,#fead22,#aeaeae,#aeaeae,#aeaeae,#3f3227,#aeaeae,#aeaeae,#aeaeae,#3f3227,#fead22,#ffffff,#44b069,#FF6600,#ffffff,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#082600,#9DA600,#44b069,#FFD900,#FF6600,#ffffff,#FF6600,#FFD900,#44b069,#0d0d0d,#253934,#082600,#232323
27,#e51935,#d9d9d9,#e51935,#d9d9d9,#e51935,#e83a50,#e83a50,#e83a50,#292a31,#e83a50,#e51935,#e51935,#292a31,#e51935,#0a0202,#e51935,#232323,#0a0202,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#450003,#e51935,#E80C7A,#FFED75,#FFF8AF,#ffffff,#FFF8AF,#E80C7A,#e74242,#0d0d0d,#450003,#4d0f2d,#332532
28,#8e2840,#1c1c1c,#8e2840,#1c1c1c,#b43251,#8e2840,#8e2840,#8e2840,#40392e,#8e2840,#8e2840,#8e2840,#40392e,#d9d9d9,#ffffff,#b43251,#0a0202,#0a0202,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#009E24,#FF540D,#b43251,#eb782d,#332532,#ffffff,#009E24,#FF540D,#57C98B,#0d0d0d,#082600,#601e2e,#332532
29,#5bb5ee,#35478C,#5bb5ee,#35478C,#5bb5ee,#5bb5ee,#5bb5ee,#5bb5ee,#423036,#5bb5ee,#5bb5ee,#5bb5ee,#423036,#5bb5ee,#ffffff,#317eb6,#5bb5ee,#232323,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#35478C,#317eb6,#5bb5ee,#7FB2F0,#ADD5F7,#ffffff,#ADD5F7,#5bb5ee,#8c8c8c,#0d0d0d,#35478C,#173d5c,#232323
30,#fdcf34,#1c1c1c,#fdcf34,#1c1c1c,#fdcf34,#5d5d5d,#5d5d5d,#5d5d5d,#39392e,#5d5d5d,#5d5d5d,#5d5d5d,#39392e,#fdcf34,#fdcf34,#232323,#FFBE00,#232323,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#252935,#514F5A,#FF9C19,#E8CA00,#fdcf34,#ffffff,#e5e5e5,#FF9C19,#57C98B,#0d0d0d,#232323,#712d0b,#232323
31,#AE4E8D,#D66EAB,#AE4E8D,#D66EAB,#1c1c1c,#AE4E8D,#AE4E8D,#AE4E8D,#323232,#AE4E8D,#AE4E8D,#AE4E8D,#39392e,#AE4E8D,#AE4E8D,#AE4E8D,#232323,#0a0202,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#AE4E8D,#54416B,#D66EAB,#54416B,#514F5A,#ffffff,#e5e5e5,#AE4E8D,#D66EAB,#0d0d0d,#232323,#54416B,#514F5A
32,#AA8230,#A11D40,#AA8230,#A11D40,#1c1c1c,#AA8230,#AA8230,#AA8230,#AA8230,#AA8230,#AA8230,#AA8230,#39392e,#AA8230,#232323,#AA8230,#7A5A24,#A11D40,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#AA8230,#A11D40,#BC365F,#7A5A24,#440619,#AA8230,#ffffff,#BC365F,#A11D40,#0d0d0d,#232323,#440619,#A11D40
33,#2F7F3E,#A3A036,#2F7F3E,#A3A036,#d9d9d9,#2F7F3E,#2F7F3E,#2F7F3E,#39392e,#2F7F3E,#2F7F3E,#2F7F3E,#39392e,#7FA03E,#232323,#7FA03E,#232323,#A3A036,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#2F7F3E,#A3A036,#7FA03E,#7F771F,#fdcf34,#ffffff,#e5e5e5,#A3A036,#7FA03E,#0d0d0d,#232323,#082600,#2F7F3E
34,#E94527,#252935,#E94527,#252935,#EB9625,#EC5D24,#EC5D24,#EC5D24,#39392e,#EC5D24,#EC5D24,#EC5D24,#39392e,#E94527,#E94527,#252935,#252935,#252935,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#252935,#EC5D24,#E94527,#EB9625,#F9D673,#ffffff,#e5e5e5,#F9D673,#EC5D24,#0d0d0d,#232323,#712d0b,#EC5D24
35,#7d7d7d,#1c1c1c,#7d7d7d,#1c1c1c,#e51935,#7d7d7d,#7d7d7d,#7d7d7d,#39392e,#7d7d7d,#7d7d7d,#7d7d7d,#39392e,#232323,#232323,#d71228,#FFBE00,#7d7d7d,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#7d7d7d,#d71228,#FFBE00,#690000,#FF6517,#ffffff,#d71228,#FFBE00,#7d7d7d,#0d0d0d,#232323,#690000,#7d7d7d
36,#fdcf34,#514F5A,#fdcf34,#514F5A,#EB9625,#5d5d5d,#5d5d5d,#5d5d5d,#39392e,#5d5d5d,#5d5d5d,#5d5d5d,#39392e,#FF9C19,#232323,#FF9C19,#FF9C19,#232323,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#252935,#514F5A,#FF9C19,#AA8230,#fdcf34,#ffffff,#e5e5e5,#FF9C19,#AA8230,#0d0d0d,#232323,#712d0b,#232323
37,#e51935,#d9d9d9,#e51935,#d9d9d9,#e51935,#e83a50,#e83a50,#e83a50,#292a31,#e83a50,#e51935,#e51935,#292a31,#e51935,#ffffff,#232323,#8c8c8c,#e51935,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#450003,#e51935,#E80C7A,#FFED75,#FFF8AF,#e51935,#FFF8AF,#ffffff,#e74242,#0d0d0d,#450003,#4d0f2d,#332532
38,#317eb6,#d9d9d9,#317eb6,#d9d9d9,#fdcf34,#317eb6,#317eb6,#317eb6,#323232,#317eb6,#317eb6,#317eb6,#323232,#317eb6,#5bb5ee,#317eb6,#fdcf34,#ffffff,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#2c6a9e,#5bb5ee,#fdcf34,#b52c1a,#e74242,#ffffff,#e74242,#5bb5ee,#fdcf34,#0d0d0d,#173d5c,#510103,#232323
39,#2ab292,#d9d9d9,#2ab292,#d9d9d9,#1F5143,#1c9e98,#1c9e98,#1c9e98,#353835,#1c9e98,#1c9e98,#1c9e98,#353835,#2cbb99,#232323,#1c9874,#8c8c8c,#BDDFB3,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#44b069,#1c9874,#2cbb99,#BDDFB3,#F77A52,#ffffff,#44b069,#BDDFB3,#2cbb99,#0d0d0d,#082600,#743624,#2F2933
40,#e5e5e5,#44b069,#e5e5e5,#44b069,#e51935,#e51935,#e51935,#e51935,#39392e,#e51935,#e51935,#e51935,#39392e,#e5e5e5,#e5e5e5,#e51935,#44b069,#e5e5e5,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#252935,#44b069,#e51935,#EB9625,#fdcf34,#ffffff,#e5e5e5,#FF9C19,#44b069,#0d0d0d,#232323,#44b069,#440619
41,#FEDA00,#7d7d7d,#FEDA00,#7d7d7d,#1c1c1c,#FEDA00,#FEDA00,#FEDA00,#39392e,#FEDA00,#FEDA00,#FEDA00,#39392e,#FEDA00,#ffffff,#232323,#232323,#FEDA00,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#252935,#514F5A,#FF9C19,#d9d9d9,#FEDA00,#ffffff,#e5e5e5,#FF9C19,#FEDA00,#0d0d0d,#232323,#712d0b,#FEDA00
42,#2F2933,#2ab292,#2ab292,#BDDFB3,#2F2933,#2ab292,#2ab292,#2ab292,#353835,#2ab292,#2ab292,#2ab292,#353835,#2ab292,#2ab292,#2F2933,#e5e5e5,#2F2933,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#01A2A6,#2ab292,#FFFFA6,#2F2933,#A49A87,#BDDFB3,#2ab292,#01A2A6,#ffffff,#0d0d0d,#084041,#48443c,#2F2933
43,#eb782d,#46a4b2,#46a4b2,#eb782d,#d9d9d9,#eb782d,#eb782d,#eb782d,#323232,#eb782d,#eb782d,#eb782d,#323232,#eb782d,#ffffff,#F04D2F,#2F2933,#8c8c8c,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#F04D2F,#eb782d,#143f72,#46a4b2,#ADD5F7,#F04D2F,#ADD5F7,#ffffff,#F04D2F,#0d0d0d,#143f72,#712d0b,#232323
44,#C62466,#d9d9d9,#C62466,#1c1c1c,#d9d9d9,#C62466,#C62466,#C62466,#40392e,#C62466,#C62466,#C62466,#40392e,#C62466,#C62466,#232323,#C62466,#ffffff,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#E2A4C9,#C62466,#b43251,#46a4b2,#332532,#C62466,#E2A4C9,#C62466,#46a4b2,#0d0d0d,#b43251,#601e2e,#332532
45,#72B9CC,#2e3fa2,#72B9CC,#2e3fa2,#d9d9d9,#72B9CC,#72B9CC,#72B9CC,#39392e,#72B9CC,#72B9CC,#72B9CC,#39392e,#d9d9d9,#2e3fa2,#bc1313,#00247d,#ffffff,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#252935,#514F5A,#2e3fa2,#72B9CC,#bc1313,#ffffff,#e5e5e5,#cf142b,#72B9CC,#0d0d0d,#232323,#2e3fa2,#4B3B7F
46,#917127,#1c1c1c,#917127,#1c1c1c,#d9d9d9,#917127,#b08e3f,#755b1f,#323232,#917127,#917127,#917127,#323232,#917127,#917127,#232323,#917127,#232323,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#b28800,#917127,#2F2933,#30003e,#7A6CB1,#917127,#8c49a9,#ffffff,#7A6CB1,#0d0d0d,#554007,#30003e,#232323
47,#d9d9d9,#AE4E8D,#AE4E8D,#D66EAB,#6B337D,#AE4E8D,#AE4E8D,#AE4E8D,#323232,#AE4E8D,#AE4E8D,#AE4E8D,#39392e,#AE4E8D,#ffffff,#232323,#54416B,#D66EAB,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#AE4E8D,#54416B,#D66EAB,#54416B,#6B337D,#D66EAB,#e5e5e5,#AE4E8D,#ffffff,#0d0d0d,#232323,#6B337D,#54416B
48,#4B9343,#CE4241,#4B9343,#d9d9d9,#CE4241,#4B9343,#4B9343,#4B9343,#39392e,#4B9343,#4B9343,#4B9343,#39392e,#4B9343,#232323,#4B9343,#ffffff,#514F5A,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#252935,#514F5A,#CE4241,#4B9343,#690000,#ffffff,#e5e5e5,#CE4241,#4B9343,#0d0d0d,#232323,#690000,#082600
49,#e51935,#d9d9d9,#e51935,#d9d9d9,#515151,#e51935,#e51935,#e51935,#292a31,#e51935,#e51935,#e51935,#292a31,#e51935,#ffffff,#232323,#e51935,#8c8c8c,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#450003,#e51935,#515151,#FFED75,#FFF8AF,#ffffff,#FFF8AF,#E80C7A,#e74242,#0d0d0d,#450003,#4d0f2d,#332532
50,#3E71B7,#fadb06,#3E71B7,#fadb06,#d9d9d9,#3E71B7,#3E71B7,#3E71B7,#36242f,#3E71B7,#3E71B7,#3E71B7,#36242f,#3E71B7,#3E71B7,#e5e5e5,#fadb06,#232323,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#3E71B7,#5397a9,#FF6517,#fadb06,#FF6517,#ffffff,#fadb06,#3E71B7,#e5e5e5,#0d0d0d,#143f72,#712d0b,#232323
51,#FFBE00,#e51935,#2F2933,#e51935,#FFBE00,#FFBE00,#FFBE00,#FFBE00,#39392e,#FFBE00,#FFBE00,#FFBE00,#39392e,#FFBE00,#2F2933,#e51935,#FFBE00,#0a0202,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#2F2933,#514F5A,#e5e5e5,#f62828,#FF9C19,#ffffff,#e5e5e5,#FF9C19,#f62828,#0d0d0d,#232323,#712d0b,#232323
52,#5bb5ee,#e5e5e5,#5bb5ee,#e5e5e5,#e51935,#e5e5e5,#e5e5e5,#e5e5e5,#292a31,#e5e5e5,#e5e5e5,#e5e5e5,#292a31,#e5e5e5,#5bb5ee,#ffffff,#e51935,#ffffff,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#5bb5ee,#e51935,#5bb5ee,#4B9343,#2ab292,#ffffff,#5bb5ee,#ffffff,#e74242,#0d0d0d,#450003,#4d0f2d,#332532
53,#232323,#CE4241,#CE4241,#e5e5e5,#fdcf34,#CE4241,#CE4241,#CE4241,#323232,#CE4241,#CE4241,#CE4241,#323232,#CE4241,#fadb06,#232323,#CE4241,#e5e5e5,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#fadb06,#e5e5e5,#fdcf34,#b52c1a,#514F5A,#ffffff,#e74242,#CE4241,#fdcf34,#0d0d0d,#173d5c,#510103,#232323
54,#72B9CC,#5164A6,#72B9CC,#2F2933,#5164A6,#72B9CC,#72B9CC,#72B9CC,#353835,#72B9CC,#72B9CC,#72B9CC,#353835,#72B9CC,#72B9CC,#232323,#0a0202,#5164A6,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#72B9CC,#3E71B7,#2F2933,#e51935,#ADD5F7,#ffffff,#ADD5F7,#3E71B7,#e5e5e5,#0d0d0d,#082600,#743624,#2F2933
55,#FF6600,#FEDA00,#FEDA00,#232323,#FF6600,#FF6600,#FF6600,#FF6600,#39392e,#FF6600,#FF6600,#FF6600,#39392e,#FF6600,#FF6600,#232323,#ffffff,#FEDA00,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#FF6600,#3E71B7,#6bec97,#e5e5e5,#E80C7A,#ffffff,#e5e5e5,#6bec97,#44b069,#0d0d0d,#232323,#44b069,#440619
56,#2ab292,#8c8c8c,#2ab292,#232323,#8c8c8c,#8c8c8c,#8c8c8c,#8c8c8c,#39392e,#8c8c8c,#8c8c8c,#8c8c8c,#39392e,#8c8c8c,#2ab292,#232323,#e5e5e5,#8c8c8c,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#2ab292,#44b069,#6bec97,#4B9343,#009E24,#ffffff,#e5e5e5,#6bec97,#009E24,#0d0d0d,#232323,#712d0b,#FEDA00
57,#aad039,#2F2933,#2F2933,#aad039,#677188,#aad039,#aad039,#aad039,#353835,#aad039,#aad039,#aad039,#353835,#aad039,#0a0202,#aad039,#27282E,#677188,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#0a0202,#917127,#e51935,#f62828,#FFF8AF,#ffffff,#FFF8AF,#f62828,#e5e5e5,#0d0d0d,#084041,#48443c,#2F2933
58,#D0D0D0,#2F2933,#2F2933,#D0D0D0,#d9d9d9,#D0D0D0,#D0D0D0,#D0D0D0,#323232,#D0D0D0,#D0D0D0,#D0D0D0,#323232,#D0D0D0,#D0D0D0,#2F2933,#FF9C19,#2F2933,#0a0202,#232323,#8c8c8c,#e5e5e5,#ffffff,#D0D0D0,#eb782d,#FF6517,#f62828,#2F2933,#ffffff,#e5e5e5,#f62828,#FF6517,#0d0d0d,#143f72,#712d0b,#232323
