Name,Nationality,Logo Index,Category,Prestige,Slot Sponsoring,Team sponsoring,Upfront Value,HomeBonus Value,Bonus Difficulty,Bonus Target,Bonus Amount,Per Race Payment,Deal Length,DealTotal,DealValue,Offer Timer,Offer Cooldown,Starting Cooldown,Days After,Available in,Liaison First Name,Liaison Last Name,Gender,Skin Colour,Hair,Hair Colour,Glasses,Accessory,Facial Hair
Ravelli & Co,Switzerland,27,Fashion,2,6,10; 45; 39; 46; 58,0,0,,,,0.4,10,4,0.4,2,27,21,0,21,Darrius,Hoogtelinck,M,2,7,1,0,0,0
Shield,Switzerland,28,Security,2,6,,1.6,0,,,,0,8,1.6,0.2,3,39,34,0,34,Edgar,Brook,M,0,1,9,0,0,0
Peach-Plum,NewZealand,29,Food,1,6,20; 11;48; 40; 42,0,0,,,,0.35,9,3.15,0.35,1,9,0,0,0,Kasen,Castense,M,2,2,0,1,0,0
Boa Vista,Brazil,30,Travel,1,6,41,1,0,,,,0,6,1,0.167,1,12,12,0,12,Jeffery,Crocker,M,4,7,6,0,0,0
Root Investments,SouthAfrica,31,Banking,5,5,5,1,0,4,3,1.3,,5,7.5,1.5,3,5,5,0,5,James,Freeman,M,4,2,7,0,0,0
El Banco,Spain,32,Banking,5,5,,3,0,4,3,1,,7,10,1.429,4,128,0,0,0,Chance,Geiger,M,0,4,8,0,0,0
Iceni,UK,33,Security,4,5,,0.75,0,4,3,1.3,,6,8.55,1.425,1,82,42,0,42,Chris,Bacheler,M,1,5,8,0,0,0
Vamoose,Canada,34,Games,4,5,2,1.5,0,4,3,1.2,,6,8.7,1.45,4,79,51,0,51,Isiah,Jeffers,M,0,4,1,0,0,0
Condor,UnitedStates,35,Telecoms,3,5,17; 44,1,0,3,4,0.8,,8,7.4,0.925,3,52,22,0,22,Allen,Burr,M,2,4,9,0,0,0
Squillado,Italy,36,Games,3,5,16; 54; 63,0,0,3,4,0.9,,7,6.3,0.9,3,55,11,0,11,Jesus,Packard,M,0,1,3,0,0,0
Ambrosia,France,37,Food,3,5,11,0.3,0,3,6,0.7,,3,2.4,0.8,2,70,0,0,0,Caleb,Harding,M,2,4,5,0,0,0
Chiffre,France,38,Fashion,2,5,39; 55,0,0,3,5,0.8,,10,8,0.8,1,24,0,0,0,Elias,Froge,M,0,1,6,1,1,0
Akus,China,39,Technology,2,5,30; 28,0.75,0,3,6,0.65,,7,5.3,0.757,2,36,34,0,34,Landan,Charlemagne,M,2,5,3,0,0,0
Jandemole,Netherlands,40,Media,1,5,25; 51; 62,0,0,2,8,0.5,,12,6,0.5,1,10,0,0,0,Maximilian,Dunkeson,M,0,6,6,0,0,0
Wan Chai Industries,China,41,Technology,1,5,15,0.75,0,2,9,0.45,,8,4.35,0.544,1,10,0,0,0,Kolby,Huntsinger,M,0,4,0,0,0,0
Shimizu,Japan,50,Automotive,5,2,5; 53,7.5,0,,,,0.55,14,15.2,1.086,3,106,77,0,77,Eddie,Lowry,M,1,6,8,1,0,0
Roux-Leroy,France,43,Alcoholic Drinks,5,2,,0,0,,,,0.83,11,9.13,0.83,3,139,114,0,114,Marcus,Bouton,M,5,2,6,0,0,0
Jogo,Brazil,44,Games,4,2,38; 57,0.25,0,,,,0.9,12,11.05,0.921,3,76,15,0,15,Kenyon,Beer,M,4,2,9,0,1,0
Bebelitas,Spain,45,Appliances,4,2,,2.75,0,,,,0.29,8,5.07,0.634,3,98,0,0,0,Miles,Chatterton,M,2,5,8,0,0,0
Hablar Hablar,Argentina,46,Telecoms,3,2,17; 36; 54,2,0,,,,0.435,10,6.35,0.435,2,65,21,0,21,Johnathon,Bout,M,1,4,9,0,0,0
Brutus Tyres,Italy,47,Automotive,3,2,3; 52,0.5,0,,,,0.4,6,2.9,0.483,1,65,0,0,0,Kristopher,Middleshitch,M,0,2,9,0,0,0
La Paz Telecom,Mexico,48,Media,3,2,,0.75,0,,,,0.35,4,2.15,0.538,2,52,46,0,46,Luciano,Couwenhoven,M,1,3,9,0,0,0
La Roka,Italy,49,Fashion,2,2,14,1,0,,,,0.4,10,5,0.5,2,20,0,0,0,Jaylin,Baldwin,M,0,4,2,0,0,0
HX,SouthKorea,42,Telecoms,2,2,20,0.35,0,,,,0.15,7,1.4,0.2,2,33,25,0,25,Davion,Leech,M,3,6,6,0,0,0
Rogerson Ales,UK,51,Alcoholic Drinks,1,2,,0.8,0,,,,0,8,0.8,0.1,1,15,3,0,3,Nathen,Bourdeau,M,1,3,6,0,0,0
Maxwells Beer,UnitedStates,52,Alcoholic Drinks,1,2,19; 30; 13; 50; 47,0,0,,,,0.15,6,0.9,0.15,1,13,0,0,0,Jared,Hufftail,M,2,1,7,0,0,0
Sheikh Airways,Qatar,53,Travel,1,2,10;31; 40; 51,0.55,0,,,,0.125,4,1.05,0.263,1,7,2,0,2,Kyle,Malier,M,1,5,9,1,0,0
Football Manager,UK,58,Games,5,1,5,1,3.4,2,7,0.6,,4,3.4,0.85,3,138,46,0,46,Nolan,Bourdeau,M,2,7,6,1,0,0
Playsport Games,UK,62,Games,4,1,33; 57,0.45,2.2,2,7,0.6,,3,2.25,0.75,3,88,0,0,0,Camden,Carter,M,4,5,9,0,0,0
Nippon Motors,Japan,56,Automotive,3,1,4; 60,0,3,2,10,0.4,,4,1.6,0.4,2,58,53,252,-199,Deven,Garnier,M,1,7,7,0,1,0
Gustavo Cruises,Portugal,57,Travel,2,1,12; 46,0.8,0,2,10,0.4,,4,2.4,0.6,2,58,32,0,32,Matias,Hoopes,M,1,7,2,0,0,0
Deutsche Air,Germany,54,Travel,2,1,23,0,0,1,11,0.3,,6,1.8,0.3,2,25,0,0,0,Miles,Jacobsen,M,2,6,7,0,0,0
Luxina,Italy,59,Appliances,2,1,21; 51,0.3,0,1,12,0.25,,6,1.8,0.3,2,39,39,0,39,Drake,FitzGerald,M,3,6,8,1,0,0
Golden Tiger Bank,China,60,Banking,2,1,31; 59,0.9,0,1,13,0.2,,9,2.7,0.3,2,36,0,0,0,Saskia,Boom,F,2,2,4,1,0,0
Big Dough,UK,61,Food,1,1,24,0,0,1,14,0.15,,4,0.6,0.15,1,11,0,0,0,Connor,King,M,1,6,5,0,0,0
RussJet,RussianFederation,55,Travel,1,1,27; 11;47;37,1,0,1,16,0.075,,10,1.75,0.175,2,13,0,0,0,Jo,Kohler,F,2,2,4,1,0,0
Rogerson Ales,UK,51,Alcoholic Drinks,1,1,6;18;20;29,0,0,1,16,0.2,,2,0,0,1,2000000,2000000,0,2000000,Nathen,Bourdeau,M,1,3,6,0,0,0
SpecialEffect,UK,63,Charity,5,1,2,1,3.4,2,7,0.6,,4,3.4,0.85,3,138,46,0,46,Drake,Baldwin,M,2,7,6,1,0,0
Cortés Tire Co,UnitedStates,3,Automotive,4,5,,1.2,2.4,2,10,0.32,,6,3.12,0.52,2,55,38,0,38,Victoria,Hester,F,3,5,7,0,0,0
Kashima,Japan,5,Media,3,1,,0.1,3,1,13,0.3,,2,0.7,0.35,2,50,50,0,50,Kayley,Corsa,F,1,5,9,0,0,0
FWK,Japan,6,Technology,2,6,,0,0,,,,0.63,12,7.56,0.63,3,63,29,0,29,Korbin,Foran,M,5,4,7,0,0,0
Bango,Australia,8,Food,3,5,,0.25,2,2,10,0.38,,10,4.05,0.405,3,40,40,0,40,Jamie,Martin,F,2,2,7,0,0,0
Cupcake,UnitedStates,13,Food,3,6,,5.5,0,,,,0.51,14,12.64,0.903,1,80,58,0,58,Donte,Hulin,M,2,6,7,0,0,0
Wonderluck,Germany,20,Games,5,1,,0.5,4,1,13,0.43,,5,2.65,0.53,1,8,0,0,0,Adolfo,Kortregt,M,1,7,5,0,0,0
Hypertech,RussianFederation,23,Technology,2,4,,1.5,0,,,,0.765,9,8.385,0.932,2,101,101,0,101,Karter,Hoite,M,4,5,9,0,0,0
Balmina,Spain,25,Appliances,4,5,,0.7,0,2,7,0.625,,7,5.075,0.725,4,29,29,0,29,Keenan,Core,M,3,3,9,0,0,0
Silverado,Spain,26,Automotive,2,4,,1,0,,,,0.6,4,3.4,0.85,2,99,99,0,99,Jill,Harrison,F,5,3,6,0,0,0
Shield,Switzerland,28,Security,1,6,,2.25,0,,,,0,15,2.25,0.15,3,16,34,0,34,Edgar,Brook,M,0,1,9,0,0,0
Peach-Plum,NewZealand,29,Food,2,4,,0,0,,,,0.78,8,6.24,0.78,1,92,92,0,92,Kasen,Castense,M,2,2,0,1,0,0
Boa Vista,Brazil,30,Travel,4,4,,5,0,,,,0.175,4,5.7,1.425,1,107,107,0,107,Jeffery,Crocker,M,4,7,6,0,0,0
Iceni,UK,33,Security,3,4,,2.7,0,,,,0.9,9,10.8,1.2,1,106,106,0,106,Chris,Bacheler,M,1,5,8,0,0,0
Vamoose,Canada,34,Games,1,4,,1.1,0,,,,0.535,7,4.845,0.692,4,99,51,0,51,Isiah,Jeffers,M,0,4,1,0,0,0
Squillado,Italy,36,Games,1,4,,0.1,0,,,,0.49,3,1.57,0.523,3,60,11,0,11,Jesus,Packard,M,0,1,3,0,0,0
Jandemole,Netherlands,40,Media,1,4,,0.5,0,,,,0.5,7,4,0.571,1,71,71,0,71,Maximilian,Dunkeson,M,0,6,6,0,0,0
Wan Chai Industries,China,41,Technology,3,4,,5,0,,,,0.675,11,12.425,1.13,1,104,104,0,104,Kolby,Huntsinger,M,0,4,0,0,0,0
Wan Chai Industries,China,41,Technology,3,5,,0.45,1.7,1,16,0.225,,9,2.475,0.275,1,10,0,0,0,Kolby,Huntsinger,M,0,4,0,0,0,0
Jogo,Brazil,44,Games,1,2,,0,0,,,,0.3,5,1.5,0.3,3,29,15,0,15,Kenyon,Beer,M,4,2,9,0,1,0
Hablar Hablar,Argentina,46,Telecoms,3,1,,1.475,0,1,13,0.195,,14,4.205,0.3,2,64,21,0,21,Johnathon,Bout,M,1,4,9,0,0,0
Brutus Tyres,Italy,47,Automotive,5,4,,6,0,,,,1.15,9,16.35,1.817,1,105,105,0,105,Kristopher,Middleshitch,M,0,2,9,0,0,0
Brutus Tyres,Italy,47,Automotive,4,5,,0,3.5,2,10,0.545,,5,2.725,0.545,1,105,105,0,105,Kristopher,Middleshitch,M,0,2,9,0,0,0
La Paz Telecom,Mexico,48,Media,4,1,,0.4,0,1,14,0.38,,4,1.92,0.48,2,44,46,0,46,Luciano,Couwenhoven,M,1,3,9,0,0,0
HX,SouthKorea,42,Telecoms,1,1,,0.25,0,1,16,0.235,,8,2.13,0.266,2,26,25,0,25,Davion,Leech,M,3,6,6,0,0,0
Rogerson Ales,UK,51,Alcoholic Drinks,2,2,,0.72,0,,,,0,1,0.72,0.72,1,52,3,0,3,Nathen,Bourdeau,M,1,3,6,0,0,0
Maxwells Beer,UnitedStates,52,Alcoholic Drinks,5,5,,0.8,2.3,2,10,0.55,,8,5.2,0.65,1,23,0,0,0,Jared,Hufftail,M,2,1,7,0,0,0
Football Manager,UK,58,Games,4,4,,2.35,0,,,,1.25,9,13.6,1.511,3,118,46,0,46,Nolan,Bourdeau,M,2,7,6,1,0,0
Playsport Games,UK,62,Games,5,4,,4.8,2.2,,,,1.55,12,23.4,1.95,3,137,137,0,137,Camden,Carter,M,4,5,9,0,0,0
Gustavo Cruises,Portugal,57,Travel,1,2,,0,0,,,,0.135,6,0.81,0.135,2,16,32,0,23,Matias,Hoopes,M,1,7,2,0,0,0
Big Dough,UK,61,Food,1,2,,0.75,0,,,,0.325,9,3.675,0.408,1,38,38,0,38,Connor,King,M,1,6,5,0,0,0
Big Dough,UK,61,Food,5,5,,0,1.8,2,10,0.665,,4,2.66,0.665,1,11,0,0,0,Connor,King,M,1,6,5,0,0,0
RussJet,RussianFederation,55,Travel,1,2,,0.2,0,,,,0.47,11,5.37,0.488,2,44,44,0,44,Jo,Kohler,F,2,2,4,1,0,0
SpecialEffect,UK,63,Charity,4,2,,3.6,3.4,,,,0.995,18,21.51,1.195,3,79,46,0,46,Drake,Baldwin,M,2,7,6,1,0,0
