Part Type,Company Name,ID,Logo ID,Price,Fuel Efficiency,Improveability,Tyre Wear,Tyre Heating,Overcharge Zone,Starting Charge,Harvest Efficiency Min,Harvest Efficiency Max,Hybrid Gates,Power Gates,Charge Size,BatteryType,Min Boundary,Max Boundary,Starting Level Min,Starting Level Max,Tier,Team Discount,Discount Amount,Teams That Cannot Buy This,Description
Battery,Electrfi,260,11,3.5,NA,NA,NA,NA,18,40,0.65,0.2,,,,,,,,,2,,,,
Battery,Matsutronics,261,12,2.8,NA,NA,NA,NA,16,25,0.35,0,,,,,,,,,2,,,,
Battery,Matsutronics,262,14,9.1,NA,NA,NA,NA,20,80,0.1,0.8,,,,,,,,,2,,,,
Battery,Xenos Electrical Engineering,263,15,0.7,NA,NA,NA,NA,30,80,0.1,0.3,,,,,,,,,2,,,,
ChassisMaterials,Carbulon,32,10,10,NA,NA,3,-2,,,,,,,,,,NoseHeight = 0.11; RearPackage = 0.03,,,2,,,,
ChassisMaterials,Morimoto Materials,33,11,5,NA,NA,5,14,,,,,,,,,,NoseHeight = 0.15; RearPackage = 0.08,,,2,,,,
ChassisMaterials,XCT Alloys,34,12,7,NA,NA,-4,15,,,,,,,,,,NoseHeight = 0.17; RearPackage = 0.16,,,2,,,,
ChassisMaterials,Polymat Group,35,13,7,NA,NA,-8,-5,,,,,,,,,,NoseHeight = 0.23; RearPackage = 0.06,,,2,,,,
ChassisMaterials,Tectra Fibres,217,1,3,NA,NA,3,-1,,,,,,,,,,NoseHeight = 0.02; RearPackage = 0,,,2,,,,
ChassisMaterials,Polymat Group,218,2,3,NA,NA,5,-4,,,,,,,,,,NoseHeight = 0.02; RearPackage = 0,,,2,,,,
ChassisMaterials,Carbulon,219,3,4,NA,NA,-2,3,,,,,,,,,,NoseHeight = 0.01; RearPackage = 0.01,,,2,,,,
ChassisMaterials,Morimoto Materials,220,4,4,NA,NA,-8,3,,,,,,,,,,NoseHeight = 0; RearPackage = 0.06,,,2,,,,
ChassisMaterials,XCT Alloys,221,5,5,NA,NA,4,1,,,,,,,,,,NoseHeight = 0.08; RearPackage = 0.08,,,2,,,,
ChassisMaterials,Polymat Group,222,6,3,NA,NA,-5,-4,,,,,,,,,,NoseHeight = 0.07; RearPackage = 0.02,,,2,,,,
ChassisMaterials,Carbulon,223,7,5,NA,NA,4,10,,,,,,,,,,NoseHeight = 0.11; RearPackage = 0.05,,,2,,,,
ChassisMaterials,Morimoto Materials,224,8,4,NA,NA,-8,-6,,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.05,,,2,,,,
ChassisMaterials,XCT Alloys,225,9,11,NA,NA,9,2,,,,,,,,,,NoseHeight = 0.09; RearPackage = 0.11,,,2,,,,
ChassisMaterials,Carbulon,226,14,4,NA,NA,9,4,,,,,,,,,,NoseHeight = 0.12; RearPackage = 0.14,,,2,,,,
ChassisMaterials,Morimoto Materials,227,15,3,NA,NA,11,-8,,,,,,,,,,NoseHeight = 0.25; RearPackage = 0.08,,,2,,,,
ECU,Micronix Racing,24,9,5.5,NA,NA,4,4.5,,,,,,,,,,NoseHeight = 0.13; RearPackage = 0.09,,,2,,,,
ECU,Micronix Racing,25,10,3,NA,NA,-1.5,5.5,,,,,,,,,,NoseHeight = 0.03; RearPackage = 0.14,,,2,,,,
ECU,Micronix Racing,26,11,7.5,NA,NA,-2.5,3.5,,,,,,,,,,NoseHeight = 0; RearPackage = 0.02,,,2,,,,
ECU,Micronix Racing,27,12,3,NA,NA,6,6,,,,,,,,,,NoseHeight = 0.13; RearPackage = 0.16,,,2,,,,
ECU,Micronix Racing,239,1,3,NA,NA,2,2,,,,,,,,,,NoseHeight = 0; RearPackage = 0,,,2,,,,
ECU,Micronix Racing,240,2,3.5,NA,NA,-2.5,-1,,,,,,,,,,NoseHeight = 0.01; RearPackage = 0.01,,,2,,,,
ECU,Micronix Racing,241,3,3,NA,NA,2,-2,,,,,,,,,,NoseHeight = 0.04; RearPackage = 0.04,,,2,,,,
ECU,Micronix Racing,242,4,4.5,NA,NA,-2.5,-4,,,,,,,,,,NoseHeight = 0.03; RearPackage = 0,,,2,,,,
ECU,Micronix Racing,243,5,4.5,NA,NA,2,1.5,,,,,,,,,,NoseHeight = 0.08; RearPackage = 0,,,2,,,,
ECU,Micronix Racing,244,6,5,NA,NA,-3.5,1,,,,,,,,,,NoseHeight = 0.08; RearPackage = 0.01,,,2,,,,
ECU,Micronix Racing,245,7,5.5,NA,NA,1.5,-3.5,,,,,,,,,,NoseHeight = 0.06; RearPackage = 0.09,,,2,,,,
ECU,Micronix Racing,246,8,6.5,NA,NA,-1,2.5,,,,,,,,,,NoseHeight = 0.15; RearPackage = 0.14,,,2,,,,
ECU,Micronix Racing,247,13,3.5,NA,NA,-0.5,7.5,,,,,,,,,,NoseHeight = 0.21; RearPackage = 0.07,,,2,,,,
ECU,Micronix Racing,248,14,3,NA,NA,4.5,-3,,,,,,,,,,NoseHeight = 0.28; RearPackage = 0.04,,,2,,,,
ECU,Micronix Racing,249,15,10,NA,NA,0.5,9,,,,,,,,,,NoseHeight = 0.12; RearPackage = 0.16,,,2,,,,
Engine,Shimizu RA1,20,9,3,2,-5,NA,NA,,,,,,,,,NoseHeight = 0.18; RearPackage = 0.02,,13,24,2,,,,
Engine,Rossini,21,10,12,-8,11,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = 0.11,,15,36,2,,,,
Engine,Mersault MK1,22,11,5,9,7,NA,NA,,,,,,,,,NoseHeight = 0.03; RearPackage = 0.22,,15,34,2,,,,
Engine,Shimizu,23,12,13,-2,11,NA,NA,,,,,,,,,NoseHeight = 0.24; RearPackage = 0.21,,35,74,2,,,,
Engine,Steinmann X,206,1,4,-7,-6,NA,NA,,,,,,,,,NoseHeight = 0.01; RearPackage = 0.02,,1,3,2,,,,
Engine,Rossini Velocità,207,2,5,-2,-2,NA,NA,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.02,,6,18,2,,,,
Engine,Kitano,208,3,4,3,-2,NA,NA,,,,,,,,,NoseHeight = 0.06; RearPackage = 0.05,,1,1,2,,,,
Engine,Mersault MK3,209,4,6,-7,-6,NA,NA,,,,,,,,,NoseHeight = 0.04; RearPackage = 0,,3,6,2,,,,
Engine,Hammer,210,5,7,5,4,NA,NA,,,,,,,,,NoseHeight = 0.03; RearPackage = 0.08,,5,10,2,,,,
Engine,Steinmann ,211,6,8,-2,-3,NA,NA,,,,,,,,,NoseHeight = 0.12; RearPackage = 0.01,,6,16,2,,,,
Engine,Rossini,212,7,7,4,7,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = 0,,3,3,2,,,,
Engine,Mersault MK2,213,8,10,0,5,NA,NA,,,,,,,,,NoseHeight = 0.04; RearPackage = 0.04,,1,2,2,,,,
Engine,Rossini,214,13,3,12,9,NA,NA,,,,,,,,,NoseHeight = 0.17; RearPackage = 0.12,,22,64,2,,,,
Engine,Mersault MK2,215,14,12,12,11,NA,NA,,,,,,,,,NoseHeight = 0.12; RearPackage = 0.16,,8,10,2,,,,
Engine,Shimizu RA1,216,15,6,8,-2,NA,NA,,,,,,,,,NoseHeight = 0.21; RearPackage = 0.17,,3,7,2,,,,
ERS,Battery,140,2,3,,,,,0,100,0.75,0.75,1000,300,100,Battery,,,,,2,,,,PSG_10013543
ERS,Flywheel,264,1,3,,,,,0,0,0.6,0.6,1750,150,100,Flywheel,,,,,2,,,,PSG_10013542
ERS,Supercapacitor,265,3,3,,,,,0,25,1,1,500,450,50,SuperCapacitor,,,,,2,,,,PSG_10013544
Fuel,Imperial Petroleum,28,8,3.5,5,3,NA,NA,,,,,,,,,NoseHeight = 0.02; RearPackage = 0,,,,2,,,,
Fuel,Imperial Petroleum,29,9,5,-0.5,2,NA,NA,,,,,,,,,NoseHeight = 0.13; RearPackage = 0,,,,2,,,,
Fuel,Imperial Petroleum,30,10,5.5,1,0,NA,NA,,,,,,,,,NoseHeight = 0.06; RearPackage = 0.09,,,,2,,,,
Fuel,Imperial Petroleum,31,11,4,2,0,NA,NA,,,,,,,,,NoseHeight = 0.16; RearPackage = 0.02,,,,2,,,,
Fuel,Imperial Petroleum,228,1,3,-2,0,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = 0.01,,,,2,,,,
Fuel,Imperial Petroleum,229,2,4,-3.5,0.5,NA,NA,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.02,,,,2,,,,
Fuel,Imperial Petroleum,230,3,4,-4,-2.5,NA,NA,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.02,,,,2,,,,
Fuel,Imperial Petroleum,231,4,4,1.5,2.5,NA,NA,,,,,,,,,NoseHeight = 0.08; RearPackage = 0.06,,,,2,,,,
Fuel,Imperial Petroleum,232,5,3.5,2.5,3,NA,NA,,,,,,,,,NoseHeight = 0.07; RearPackage = 0.07,,,,2,,,,
Fuel,Imperial Petroleum,233,6,6,3,3,NA,NA,,,,,,,,,NoseHeight = 0.12; RearPackage = 0.09,,,,2,,,,
Fuel,Imperial Petroleum,234,7,3.5,4.5,-1,NA,NA,,,,,,,,,NoseHeight = 0; RearPackage = 0.07,,,,2,,,,
Fuel,Imperial Petroleum,235,12,5,0.5,3.5,NA,NA,,,,,,,,,NoseHeight = 0.03; RearPackage = 0.05,,,,2,,,,
Fuel,Imperial Petroleum,236,13,3.5,7.5,-2,NA,NA,,,,,,,,,NoseHeight = 0.23; RearPackage = 0.19,,,,2,,,,
Fuel,Imperial Petroleum,237,14,5,6.5,-4,NA,NA,,,,,,,,,NoseHeight = 0.26; RearPackage = 0.16,,,,2,,,,
Fuel,Imperial Petroleum,238,15,6.5,1.5,-2.5,NA,NA,,,,,,,,,NoseHeight = 0.13; RearPackage = 0.23,,,,2,,,,
Battery,Electrfi,86,3,2.4,NA,NA,NA,NA,0,20,0.1,0.3,,,,,,,,,3,,,,
Battery,XLQ-Power,314,1,1.9,NA,NA,NA,NA,0,10,0.3,0.1,,,,,,,,,3,,,,
Battery,Huang Lin Racing Technology,315,2,2.5,NA,NA,NA,NA,4,25,0.05,0.25,,,,,,,,,3,,,,
Battery,Matsutronics,316,4,3.9,NA,NA,NA,NA,8,45,0,0.05,,,,,,,,,3,,,,
Battery,Xenos Electrical Engineering,317,5,3.8,NA,NA,NA,NA,0,40,0.45,0.35,,,,,,,,,3,,,,
Battery,XLQ-Power,318,6,4.5,NA,NA,NA,NA,2,30,0.35,0.15,,,,,,,,,3,,,,
Battery,Huang Lin Racing Technology,319,7,4.3,NA,NA,NA,NA,4,40,0.3,0.1,,,,,,,,,3,,,,
Battery,Electrfi,320,8,0.6,NA,NA,NA,NA,10,0,0.3,0.55,,,,,,,,,3,,,,
Battery,Matsutronics,321,9,1,NA,NA,NA,NA,18,25,0.15,0.4,,,,,,,,,3,,,,
Battery,XLQ-Power,322,10,2.3,NA,NA,NA,NA,18,45,0.4,0.3,,,,,,,,,3,,,,
Battery,Electrfi,323,11,5.4,NA,NA,NA,NA,4,65,0.1,0.65,,,,,,,,,3,,,,
Battery,Matsutronics,324,12,8.3,NA,NA,NA,NA,12,75,0.85,0.75,,,,,,,,,3,,,,
Battery,Huang Lin Racing Technology,325,13,4.2,NA,NA,NA,NA,4,10,0.15,0.75,,,,,,,,,3,,,,
Battery,Matsutronics,326,14,9.8,NA,NA,NA,NA,26,10,0.25,0.9,,,,,,,,,3,,,,
Battery,Xenos Electrical Engineering,327,15,1.6,NA,NA,NA,NA,12,35,0.45,0.1,,,,,,,,,3,,,,
ChassisMaterials,Tectra Fibres,45,1,1,NA,NA,0,2,,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.01,,,3,,,,
ChassisMaterials,Morimoto Materials,46,4,5,NA,NA,-1,4,,,,,,,,,,NoseHeight = 0.05; RearPackage = 0.01,,,3,,,,
ChassisMaterials,XCT Alloys,47,5,3,NA,NA,-2,-1,,,,,,,,,,NoseHeight = 0.04; RearPackage = 0.08,,,3,,,,
ChassisMaterials,Polymat Group,278,2,3,NA,NA,-8,-8,,,,,,,,,,NoseHeight = 0.01; RearPackage = 0.01,,,3,,,,
ChassisMaterials,Carbulon,279,3,3,NA,NA,-2,-4,,,,,,,,,,NoseHeight = 0.04; RearPackage = 0.02,,,3,,,,
ChassisMaterials,Polymat Group,280,6,6,NA,NA,-6,4,,,,,,,,,,NoseHeight = 0.07; RearPackage = 0.04,,,3,,,,
ChassisMaterials,Carbulon,281,7,8,NA,NA,8,4,,,,,,,,,,NoseHeight = 0.07; RearPackage = 0.07,,,3,,,,
ChassisMaterials,Morimoto Materials,282,8,7,NA,NA,3,-3,,,,,,,,,,NoseHeight = 0.06; RearPackage = 0.08,,,3,,,,
ChassisMaterials,XCT Alloys,283,9,6,NA,NA,1,-3,,,,,,,,,,NoseHeight = 0.16; RearPackage = 0.18,,,3,,,,
ChassisMaterials,Carbulon,284,10,1,NA,NA,-3,-2,,,,,,,,,,NoseHeight = 0.13; RearPackage = 0.17,,,3,,,,
ChassisMaterials,Morimoto Materials,285,11,3,NA,NA,7,-2,,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.22,,,3,,,,
ChassisMaterials,XCT Alloys,286,12,6,NA,NA,8,11,,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.09,,,3,,,,
ChassisMaterials,Polymat Group,287,13,8,NA,NA,11,13,,,,,,,,,,NoseHeight = 0.11; RearPackage = 0.03,,,3,,,,
ChassisMaterials,Carbulon,288,14,12,NA,NA,6,3,,,,,,,,,,NoseHeight = 0.09; RearPackage = 0.01,,,3,,,,
ChassisMaterials,Morimoto Materials,289,15,6,NA,NA,14,-6,,,,,,,,,,NoseHeight = 0.24; RearPackage = 0.19,,,3,,,,
ECU,Micronix Racing,39,1,1,NA,NA,0,0.5,,,,,,,,,,NoseHeight = 0.01; RearPackage = 0,,,3,,,,
ECU,Micronix Racing,40,2,1.5,NA,NA,-1.5,1,,,,,,,,,,NoseHeight = 0.04; RearPackage = 0.02,,,3,,,,
ECU,Micronix Racing,41,3,1,NA,NA,-3.5,-3.5,,,,,,,,,,NoseHeight = 0.02; RearPackage = 0.05,,,3,,,,
ECU,Micronix Racing,302,4,3,NA,NA,0,-0.5,,,,,,,,,,NoseHeight = 0.05; RearPackage = 0.08,,,3,,,,
ECU,Micronix Racing,303,5,1,NA,NA,0.5,-2.5,,,,,,,,,,NoseHeight = 0.09; RearPackage = 0.08,,,3,,,,
ECU,Micronix Racing,304,6,3,NA,NA,3.5,3,,,,,,,,,,NoseHeight = 0.03; RearPackage = 0.09,,,3,,,,
ECU,Micronix Racing,305,7,3.5,NA,NA,2.5,-2,,,,,,,,,,NoseHeight = 0.03; RearPackage = 0.09,,,3,,,,
ECU,Micronix Racing,306,8,4.5,NA,NA,4.5,-1.5,,,,,,,,,,NoseHeight = 0.09; RearPackage = 0.04,,,3,,,,
ECU,Micronix Racing,307,9,4,NA,NA,1,-3.5,,,,,,,,,,NoseHeight = 0.14; RearPackage = 0.11,,,3,,,,
ECU,Micronix Racing,308,10,5,NA,NA,0.5,-0.5,,,,,,,,,,NoseHeight = 0.03; RearPackage = 0.11,,,3,,,,
ECU,Micronix Racing,309,11,1,NA,NA,6,5,,,,,,,,,,NoseHeight = 0.19; RearPackage = 0.1,,,3,,,,
ECU,Micronix Racing,310,12,2,NA,NA,2.5,3.5,,,,,,,,,,NoseHeight = 0.19; RearPackage = 0.09,,,3,,,,
