ID,Trait Name,Name ID,Custom Trait Name,Text ID,Icon Path,Icon,Part,Level,Type,Activation Requirement,Risk Level,Stat Boost,Max Stat Boost,Reliability Boost,Max Reliability Boost,Production Time,Cost,Red Zone,Bonus,Bonus Type,AggressiveTeamWeightings,PassiveTeamWeightings
15,"{Stat}: +50
 On: Soft, Supers & Ultras",PSG_10008437,"<b>Performance:</b> +50
 On: Softs, Supers & Ultras",,PartIconID15,6,All,3,Stock,TyreCompoundSoft,,50,,,,,,,,,1,1
16,"Reliability: +60%
Risk Level: + 1",PSG_10004954,"<b>Reliability:</b> +30%
<b>Max Reliability:</b> +15%",,PartIconID16,7,All,3,Stock,,,,,30,15,,,,,,1,1
17,"{Stat}: +40 to Max
 -15% Reliability",PSG_10004955,"<b>Performance:</b> +75 to Max
<b>Reliability:</b> -10%",,PartIconID17,2,All,3,Stock,,,,75,-10,,,,,,,1,1
18,"{Stat}: -20 to Max
{Stat}: +40",PSG_10004956,"<b>Performance:</b> -20 to Max
<b>Performance:</b> +40",,PartIconID18,2,All,3,Stock,,,40,-20,,,,,,,,1,1
19,"No Condition Loss 
On: First Race",PSG_10004957,"No Condition Loss 
On: First Race",,PartIconID19,2,"Gearbox,Brakes,FrontWing,Suspension,RearWing",4,Stock,,,,,,,,,,,NoConditionLossFirstRace,1,1
20,"{Stat}: +50 
On: Wet Tyres and Inters",PSG_10008438,"<b>Performance:</b> +50 
On: Wets and Inters",,PartIconID20,2,All,3,Stock,TyreCompoundWet,,50,,,,,,,,,1,1
68,"Build Time: +5 Days
Reliability: +20%
Red Zone: -20%",PSG_10008439,"<b>Build Time:</b> +5 Days
<b>Max Reliability:</b> +20%
<b>Red Zone:</b> -10%",,PartIconID68,2,All,4,Stock,,,,,,20,9,,-20,,,1,1
69,"{Stat}: +60
Red Zone: 15%",PSG_10008440,"<b>Performance:</b> +60
<b>Red Zone:</b> +15%",,PartIconID69,2,All,4,Stock,,,60,,,,,,15,,,1,1
70,"{Stat}: +50
Reliability: +30%
Risk Level: + 1",PSG_10008441,"<b>Performance:</b> +50
<b>Reliability:</b> +30%",,PartIconID70,7,All,4,Risky,,,50,,30,,,,,,,1,1
71,"Produce an additional part for extra time, cost and risk",PSG_20009062,"<b>Additional Parts:</b> 1
<b>Build Time:</b> +10 days
<b>Additional Cost:</b> 1,000,000",,EngineerIconBuildTime29,5,All,4,Engineer,,,,,,,10,"1,000,000.00",,,SecondPartFree,0.1,0.1
72,Red Zone: -25%,PSG_10004963,<b>Red Zone:</b> -25%,,PartIconID6,5,All,4,Stock,,,,,,,,,-25,,,1,1
21,"Build Time: +3 Days
Red Zone: -15%
{Stat}: +55",PSG_10004964,"<b>Build Time:</b> +3 Days
<b>Performance:</b> +55
<b>Red Zone:</b> -15%",,PartIconID21,2,All,4,Stock,,,55,,,,7,,-15,,,1,1
22,"Build Time: +3 Days
{Stat}: +115
Red Zone: +50%",PSG_10004965,"<b>Build Time:</b> +3 Days
<b>Performance:</b> +115
<b>Red Zone:</b> +10%",,PartIconID69,2,All,5,Stock,,,115,,,,8,,10,,,1,1
23,No Condition Loss Ever,PSG_10004966,No Condition Loss Ever,,PartIconID19,4,"Gearbox,Brakes,FrontWing,Suspension,RearWing",5,Stock,,,,,,,,,,,NoConditionLossEver,1,1
25,"{Stat}: +65
Red Zone: -20%
Cost: {Cost}",PSG_10004967,"<b>Performance:</b> +90
<b>Performance:</b> +105 to Max
<b>Red Zone:</b> -20%
<b>Risk:</b> +2",,PartIconID25,5,All,5,Stock,,2,90,105,,,,,-20,,,1,1
26,"{Stat}: +40 to Max
 Red Zone: -15%",PSG_10004968,"<b>Performance:</b> +90 to Max
 <b>Red Zone:</b> -15%",,PartIconID26,5,All,5,Stock,,,,90,,,,,-15,,,1,1
27,"{Stat}: +100
During: Race",PSG_10004969,"<b>Performance:</b> +100
<b>During:</b> Race",,PartIconID27,0,All,5,Stock,,,100,,,,,,,,,1,1
28,+60% Reliability,PSG_10004970,<b>Max Reliability:</b> +35%,,PartIconID3,1,All,5,Stock,,,,,,35,,,,,,1,1
29,Build Time: -1 Day,PSG_10004971,"<b>Intuitive</b>
<b>Driver Feedback:</b> +2",,EngineerIconBuildTime29,2,All,1,Engineer,,,,,,,,,,2,DriverFeedback,0.1,0.1
30,"Build Time: -2 Days
For: Each Million Spent",PSG_10004972,"<b>Build Time:</b> -2 Days
For: Each Million Spent",,EngineerIconTimeMoney30,2,All,1,Engineer,,,,,,,,,,-2,TimeReductionPerMillionSpent,0.1,0.1
32,"Build Time: Take No Time
Components: Good",PSG_10004973,"<b>Build Time:</b> Take No Time
Components: Good",,EngineerIconNoTime32,6,All,3,Engineer,,,,,,,,,,2,ComponentLevelAddNoDays,0.1,0.1
33,"Build Time: -2 Days
Cost: {Cost}",PSG_10004974,"<b>Build Time:</b> -2 Days
Cost: 500,000",,EngineerIconTimeMoney30,6,All,2,Engineer,,,,,,,-2,"500,000.00",,,,0.1,0.1
34,"{Stat}: +20 to Max
 Reliability: -10%",PSG_10004975,"<b>Gentle</b>
<b>Driver Smoothness:</b> +2",,EngineerIconBuildStatUpRelDown34,2,All,2,Engineer,,,,,,,,,,2,DriverSmoothness,0.1,0.1
35,"Adds a Random """"Great"""" Component",PSG_10004976,Adds a Random <b>Great</b> Component,,EngineerIconRandom35,3,All,2,Engineer,,,,,,,,,,3,AddRandomLevelComponent,0.1,0.1
36,"Reliability: +2%
For: Each day in Production",PSG_10004977,"<b>Reliability:</b> +2%
For: Each day in Production",,EngineerIconEachDayReli,5,All,3,Engineer,,,,,,,,,,2,ReliabilityPerDayInProduction,0.1,0.1
37,"{Stat}: +40
Reliability: -10% 
During: Race",PSG_10004978,"<b>Stable</b>
<b>Driver Consistency:</b> +2",,EngineerIconStatReliInRace37,4,All,3,Engineer,,,,,,,,,,2,DriverConsistency,0.1,0.1
38,Risk Level: -1,PSG_10004979,<b>Risk:</b> -1,,EngineerIconRiskLevelDown38,4,All,4,Engineer,,-1,,,,,,,,,,0.1,0.1
40,"Reliability: +5%
For: Each day in Production",PSG_10004980,"<b>Reliability:</b> +5%
For: Each day in Production",,EngineerIconNoTime32,4,All,5,Engineer,,,,,,,,,,5,ReliabilityPerDayInProduction,0.1,0.1
41,"Adds a Random """"Legendary"""" Component",PSG_10004981,"Adds a Random ""Legendary"" Component",,EngineerIconExtraSlot41,4,All,4,Engineer,,,,,,,,,,5,AddRandomLevelComponent,0.1,0.1
42,Max Performance: Instant,PSG_10004982,<b>Max Performance:</b> Instant,,EngineerIconMaxPerformance42,4,All,5,Engineer,,,,,,,,,,,PerformanceAutoImproved,0.1,0.1
43,Risk Level: None,PSG_10004983,<b>Risk:</b> None,,EngineerIconNoRisk43,4,All,5,Engineer,,-10,,,,,,,,,,0.1,0.1
44,"Reliability: +20% 
For: Each ""Good"" Component",PSG_10004984,"<b>Reliability:</b> +20% 
For: Each ""Good"" Component",,EngineerIconID45,4,All,5,Engineer,,,,,20,,,,,2,ReliabilityBonusPerComponentOfLevel,0.1,0.1
45,Reliability: +40%,PSG_10004985,<b>Reliability:</b> +40%,,EngineerIconID45,4,All,4,Engineer,,,,,40,,,,,,,0.1,0.1
46,"{Stat}: +60
Reliability: +20% 
During: Qualifying",PSG_10004986,"<b>Gentle</b>
<b>Driver Smoothness:</b> +4",,EngineerIconID46,4,All,3,Engineer,,,,,,,,,,4,DriverSmoothness,0.1,0.1
47,"{Stat}: +50
 Reliability: -25%
 On: Soft, Supers & Ultras",PSG_10008442,"<b>Intuitive</b>
<b>Driver Feedback:</b> +4",,EngineerIconID47,4,All,3,Engineer,,,,,,,,,,4,DriverFeedback,0.1,0.1
48,"{Stat}: +25
 Reliability: -10%
 On: Wet Tyres and Inters",PSG_10008443,"<b>Intuitive</b>
<b>Driver Feedback:</b> +2",,EngineerIconID48,4,All,2,Engineer,,,25,,,,,,,2,DriverFeedback,0.1,0.1
57,"{Stat}: +60
{Stat}: +50 to Max",PSG_10007582,"<b>Performance:</b> +60
<b>Performance:</b> +50 to Max",,PartIconID57,3,All,5,Stock,,,60,50,,,,,,,,1,1
58,"{Stat}: +40
Reliability: -20%",PSG_10008444,"<b>Performance:</b> +40
<b>Reliability:</b> -20%",,PartIconID58,5,All,2,Stock,,,40,,-20,,,,,,,1,1
59,"Max Reliability: +40%
Additional Cost: {ComponentCost}",PSG_10008445,"<b>Max Reliability:</b> +25%
<b>Risk:</b> +1",,PartIconID59,5,All,2,Risky,,1,,,,25,,,,,,1,1
60,"{Stat}: +35
Red Zone: -10%
Additional Cost: {Cost}",PSG_10008446,"<b>Build Time:</b> +5 Days
<b>Performance:</b> +35
<b>Red Zone:</b> -10%",,PartIconID8,,All,2,Risky,,,35,,,,7,,-10,,,1,1
61,"Build Time: -3 Days
{Stat}: +30
Additional Cost: {Cost}",PSG_10008447,"<b>Build Time:</b> -3 Days
<b>Performance:</b> +30",,PartIconID61,1,All,2,Risky,,,30,,,,-3,,,,,1,1
62,"{Stat}: +60
Risk Level: + 1",PSG_10008448,"<b>Performance:</b> +85
<b>Risk:</b> +1",,PartIconID62,7,All,3,Risky,,1,85,,,,,,,,,1,1
63,"Risk Level - 1
Cost: {Cost}",PSG_10007583,"<b>Risk:</b> -1
<b>Cost:</b> 1,000,000",,PartIconID63,4,All,3,Stock,,-1,,,,,,"1,000,000.00",,,,1,1
64,"{Stat}: +70 to Max
Risk Level: + 1",PSG_10008449,"<b>Performance:</b> +10
<b>Performance:</b> +90 to Max
<b>Risk:</b> +1",,PartIconID64,2,All,3,Risky,,1,10,90,,,,,,,,1,1
65,"{Stat}: +15
 Reliability: -10%
 On: Soft, Supers & Ultras",PSG_10008450,"<b>Stable</b>
<b>Driver Consistency:</b> +1",,EngineerIconID47,4,All,2,Engineer,,,,,,,,,,1,DriverConsistency,0.1,0.1
66,"No Condition Loss
On: First Race",PSG_10008451,"<b><i>No Condition Loss</i></b>
<b>On:</b> First Race",,EngineerIconID66,2,All,3,Engineer,,,,,,,,,,,NoConditionLossFirstRace,0.1,0.1
67,"Build Time: -4 Days
Cost: {Cost}",PSG_10007584,"<b>Build Time:</b> -4 Days
<b>Cost:</b> 1,000,000",,EngineerIconTimeMoney30,2,All,4,Engineer,,,,,,,-4,"1,000,000.00",,,,0.1,0.1
73,"{Stat}: +70
Reliability: +35%
Risk Level: + 1",PSG_10008452,"<b>Performance:</b> +95
<b>Reliability:</b> +40%
<b>Risk:</b> +1",,PartIconID16,,All,4,Risky,,1,95,,40,,,,,,,1,1
74,"Reliability: +15%
For: Each 'Average' Component
Risk Level: + 1",PSG_10008453,"<b>Reliability:</b> +15%
For: Each 'Average' Component
<b>Risk:</b> +1",,PartIconID16,,All,4,Risky,,1,15,,,,,,,1,ReliabilityBonusPerComponentOfLevel,1,1
75,{Stat}: +50,PSG_10008454,<b>Performance:</b> +50,,PartIconID2,2,All,4,Stock,,,50,,,,,,,,,1,1
76,"Production Time: +4 Days
{Stat}: +40
Reliability: +25%",PSG_10008455,"<b>Build Time:</b> +4 Days
<b>Performance:</b> +40
<b>Reliability:</b> +25%",,PartIconID14,2,All,4,Stock,,,40,,25,,8,,,,,1,1
77,"Build Time: +5 Days
{Stat}: +40 to Max",PSG_10008456,<b>Performance:</b> +65 to Max,,PartIconID77,1,All,2,Stock,,,,65,,,,,,,,1,1
78,"Build Time: +2 Days
{Stat}: +25 to Max
{Stat}: +20",PSG_10008457,"<b>Build Time:</b> +2 Days
<b>Performance:</b> +20
<b>Performance:</b> +25 to Max",,PartIconID78,1,All,2,Stock,,,20,25,,,4,,,,,1,1
79,{Stat}: +90,PSG_10008458,<b>Performance:</b> +90,,PartIconID2,1,All,5,Stock,,,90,,,,,,,,,1,1
83,"{Stat}: +75
Reliability: +50%",PSG_10008459,"<b>Performance:</b> +50
<b>Reliability:</b> +50%",,PartIconID7,1,All,5,Stock,,,50,,50,,,,,,,1,1
80,"Adds a Random """"Good"""" Component",PSG_10008460,"Adds a Random ""Good"" Component",,EngineerIconRandom35,4,All,1,Engineer,,,,,,,,,,2,AddRandomLevelComponent,0.1,0.1
81,"{Stat}: +20 to Max
Red Zone: -10%
Risk Level: +1",PSG_10008461,"<b>Versatile</b>
<b>Driver Adaptability:</b> +1",,EngineerIconMaxPerformance42,4,All,2,Engineer,,,,,,,,,,1,DriverAdaptability,0.1,0.1
82,"Reliability: +15% 
For: Each ""Good"" Component
Risk Level: +1",PSG_10008462,"<b>Reliability:</b> +15% 
For: Each ""Good"" Component
<b>Risk:</b> +1",,EngineerIconID45,4,All,3,Engineer,,1,,,15,,,,,2,ReliabilityBonusPerComponentOfLevel,0.1,0.1
84,"Build Time: +5 Days
Unlocks an Additional ""Good"" Component Slot",PSG_10010294,"<b>Build Time:</b> +5 Days
Unlocks an Additional ""Good"" Component Slot",,EngineerIconExtraSlot41,4,All,1,Engineer,,,,,,,5,,,2,UnlockExtraSlotOfLevel,0.1,0.1
85,"Build Time: +10 Days
Unlocks an Additional ""Great"" Component Slot",PSG_10010295,"<b>Build Time:</b> +10 Days
Unlocks an Additional ""Great"" Component Slot",,EngineerIconExtraSlot41,4,All,2,Engineer,,,,,,,10,,,3,UnlockExtraSlotOfLevel,0.1,0.1
86,"Reliability: +40%
{Stat}: -5",PSG_10010771,"<b>Reliability:</b> +1%
For each day in production",,EngineerIconID45,2,All,1,Engineer,,,,,,,,,,1,ReliabilityPerDayInProduction,0.1,0.1
87,"{Stat}: -15
Red Zone: -5%
Max Reliability: +10%",PSG_20009000,"<b>Red Zone:</b> -5%
<b>Max Reliability:</b> +5%",,PartIconID12,1,All,1,Stock,,,,,,5,,,-5,,,1,1
88,"{Stat}: +35
Max Reliability:  -5%
Red Zone: +10%",PSG_20009001,"<b>Performance:</b> +45
<b>Max Reliability:</b>  -5%
<b>Red Zone:</b> +10%",,PartIconID58,5,All,1,Stock,,,45,,,-5,,,10,,,1,1
89,"Reliability: +35%
Max Reliability: +15%",PSG_20009002,"<b>Reliability:</b> +35%
<b>Max Reliability:</b> +15%
<b>Risk:</b> +1",,PartIconID3,1,All,1,Stock,,1,,,35,15,,,,,,1,1
90,"Build Time: +5 Days
{Stat}: +50
Max Reliability: -5%
Additional Cost: {Cost}",PSG_20009003,"<b>Build Time:</b> +6 Days
<b>Performance:</b> +45",,PartIconID58,5,All,1,Stock,,,45,,,,6,,,,,1,1
91,"{Stat}: +15
{Stat}: +25 to Max
Max Reliability: -5%",PSG_20009004,"<b>Performance:</b> +15
<b>Performance:</b> +25 to Max",,PartIconID17,2,All,1,Stock,,,15,25,,,,,,,,1,1
92,"{Stat}: +15
{Stat}: +15 to Max
Max Reliability: +15%
Additional Cost: {Cost}",PSG_20009005,"<b>Performance:</b> +10
<b>Performance:</b> +10 to Max
<b>Max Reliability:</b> +5%",,PartIconID7,2,All,1,Stock,,,10,10,,5,,,,,,1,1
93,"{Stat}: +40
Red Zone: -5%
Max Reliability: -10%
Additional Cost: {Cost}",PSG_20009006,"<b>Performance:</b> +35
<b>Max Reliability:</b> -5%",,PartIconID25,5,All,1,Stock,,,35,,,-5,,,,,,1,1
94,"{Stat}: +10
Red Zone: -5%
Max Reliability: +5%",PSG_20009007,"<b>Performance:</b> +10
<b>Max Reliability:</b> +5%",,PartIconID7,2,All,1,Stock,,,10,,,5,,,,,,1,1
95,"{Stat}: +50
Max Reliability: -10%
Additional Cost: {Cost}",PSG_20009008,"<b>Performance:</b> +45
<b>Max Reliability:</b> -10%",,PartIconID58,5,All,1,Stock,,,45,,,-10,,,,,,1,1
96,"Build Time: -4 Days
Max Reliability: -15%",PSG_20009009,"<b>Build Time:</b> -4 Days
<b>Performance:</b> +10",,PartIconID3,,All,1,Stock,,,10,,,,-4,,,,,1,1
97,"Build Time: +3 Days
{Stat}: +10
{Stat}: +50 to Max
Additional Cost: {Cost}",PSG_20009010,"<b>Build Time:</b> +5 Days
<b>Performance:</b> +10
<b>Performance:</b> +35 to Max
<b>Red Zone:</b> -10%",,PartIconID78,1,All,1,Stock,,,10,35,,,5,,-10,,,1,1
98,Max Reliability: +15%,PSG_20009011,<b>Max Reliability:</b> +10%,,PartIconID3,,All,1,Stock,,,,,,10,,,,,,1,1
99,"Build Time: +6 Days
{Perf}: +15
{Perf}: +30 to Max",PSG_20009012,"<b>Build Time:</b> +6 Days
<b>Performance:</b> +20
<b>Performance:</b> +45 to Max",,PartIconID78,1,All,2,Stock,,,20,45,,,8,,,,,1,1
100,"{Stat}: +25
{Stat}: +30 to Max
Additional Cost: {Cost}",PSG_20009013,"<b>Performance:</b> +25
<b>Performance:</b> +30 to Max",,PartIconID57,3,All,2,Stock,,,25,30,,,,,,,,1,1
101,"Build Time: -2 Days
{Stat}: +20
{Stat}: +20 to Max
Max Reliability: -10%",PSG_20009014,"<b>Build Time:</b> -3 Days
<b>Performance:</b> +20
<b>Performance:</b> +20 to Max
<b>Max Reliability:</b> -5%",,PartIconID17,2,All,2,Stock,,,20,20,,-5,-3,,,,,1,1
102,"Build Time: +8 Days
{Stat}: +10
Relaibility: +65%",PSG_20009015,"<b>Performance:</b> +10
<b>Reliability:</b> +65%",,PartIconID14,2,All,2,Stock,,,10,,65,,,,-10,,,1,1
103,"{Stat}: +35
Max Reliability: -5%",PSG_20009016,"<b>Performance:</b> +35
<b>Max Reliability:</b> -5%",,PartIconID17,2,All,2,Stock,,,35,,,-5,,,,,,1,1
104,"Build Time: +2 Days
{Stat}: +35 to Max",PSG_20009017,"<b>Build Time:</b> -2 Days
<b>Performance:</b> +35 to Max",,PartIconID77,1,All,2,Stock,,,,35,,,-2,,,,,1,1
105,Max Reliability: +25%,PSG_20009018,<b>Max Reliability:</b> +10%,,PartIconID3,,All,2,Stock,,,,,,10,,,,,,1,1
106,"Build Time: +3 Days
{Stat}: +65
Additional Cost: {Cost}",PSG_20009019,"<b>Build Time:</b> +2 Days
<b>Performance:</b> +65
<b>Risk:</b> +1",,PartIconID78,1,All,2,Risky,,1,65,,,,4,,,,,1,1
107,"{Stat}: +30
Max Reliability: +10%
Red Zone: +5%
Additional Cost: {Cost}",PSG_20009020,"<b>Performance:</b> +30
<b>Max Reliability:</b> +5%
<b>Red Zone:</b> +5%",,PartIconID3,1,All,2,Stock,,,30,,,5,,,5,,,1,1
108,"Reliability: +40%
Max Reliability: +25%
Additional Cost: {Cost}",PSG_20009021,"<b>Reliability:</b> +40%
<b>Max Reliability:</b> +10%",,PartIconID3,1,All,2,Stock,,,,,40,10,,,,,,1,1
109,"{Stat}: -30
Reliability: +60%
Max Reliability: +35%",PSG_20009022,"<b>Performance:</b> -30
<b>Reliability:</b> +60%
<b>Max Reliability:</b> +20%",,PartIconID12,1,All,2,Stock,,,-30,,60,20,,,,,,1,1
110,"Build Time: -2 Days
{Stat}: +25
{Stat}: +15 to Max
Additional Cost: {Cost}",PSG_20009023,"<b>Build Time:</b> -2 Days
<b>Performance:</b> +25
<b>Performance:</b> +15 to Max",,PartIconID17,2,All,2,Stock,,,25,15,,,-2,,,,,1,1
111,"Build Time: +8 Days
{Stat}: +80
Max Reliability: -20%",PSG_20009024,"<b>Build Time:</b> +4 Days
<b>Performance:</b> +80
<b>Max Reliability:</b> -10%",,PartIconID78,1,All,3,Stock,,,80,,,-10,7,,,,,1,1
112,"Build Time: +4 Days
{Stat}: +35
{Stat}: +45 to Max",PSG_20009025,"<b>Build Time:</b> +4 Days
<b>Performance:</b> +35
<b>Performance:</b> +45 to Max",,PartIconID78,1,All,3,Stock,,,35,45,,,7,,,,,1,1
113,"Build Time: -3 Days
Max Reliability: -35%",PSG_20009026,"<b>Build Time:</b> -3 Days
<b>Performance:</b> +75
<b>Max Reliability:</b> -20%",,PartIconID3,,All,3,Stock,,,75,,,-20,-3,,,,,1,1
114,"{Stat}: +160
During: Qualifying",PSG_20009027,"<b>Performance:</b> +160
<b>During:</b> Qualifying",,PartIconID2,7,Engine,3,Stock,Qualifying,,160,,,,,,,,,1,1
115,"Reliability: +55%
Max Reliability: +40%
Additional Cost: {Cost}",PSG_20009028,"<b>Reliability:</b> +60%
<b>Max Reliability:</b> +25%
<b>Risk:</b> +1",,PartIconID3,1,All,3,Risky,,1,,,60,25,,,,,,1,1
116,"{Stat}: -25
Max Reliability: +60%
<b>Risk:</b> +1",PSG_20009029,"<b>Performance:</b> -25
<b>Max Reliability:</b> +40%
<b>Risk:</b> +1",,PartIconID12,1,All,3,Risky,,1,-25,,,40,,,,,,1,1
117,Max Reliability: +30%,PSG_20009030,<b>Max Reliability:</b> +20%,,PartIconID3,,All,3,Stock,,,,,,20,,,,,,1,1
118,"Build Time: +10 Days
{Stat}: +60
{Stat}: +30 to Max",PSG_20009031,"<b>Build Time:</b> +10 Days
<b>Performance:</b> +60
<b>Performance:</b> +30 to Max",,PartIconID78,1,All,3,Stock,,,60,30,,,13,,,,,1,1
119,"Build Time: +4 Days
{Stat}: +55
{Stat}: +15 to Max
Additional Cost: {Cost}",PSG_20009032,"<b>Build Time:</b> +7 Days
<b>Performance:</b> +65
<b>Performance:</b> +25 to Max",,PartIconID78,1,All,3,Stock,,,65,25,,,7,,,,,1,1
120,"Build Time: -2 Days
{Stat}: +35
<b>Risk:</b> +1",PSG_20009033,"<b>Build Time:</b> -2 Days
<b>Performance:</b> +35
<b>Risk:</b> +1",,PartIconID61,1,All,3,Risky,,1,35,,,,-2,,,,,1,1
121,"{Stat}: +200
During: Qualifying",PSG_20009034,"<b>Performance:</b> +200
<b>During:</b> Qualifying",,PartIconID2,7,Engine,4,Stock,Qualifying,,200,,,,,,,,,1,1
122,"{Stat}: +90
{Stat}: +25 to Max
Max Reliability: -25%",PSG_20009035,"<b>Performance:</b> +90
<b>Performance:</b> +25 to Max
<b>Max Reliability:</b> -25%",,PartIconID58,5,All,4,Stock,,,90,25,,-25,,,,,,1,1
123,{Stat}: +60,PSG_20009036,<b>Performance:</b> +60,,PartIconID2,2,All,4,Stock,,,60,,,,,,,,,1,1
124,"{Stat}: +35
{Stat}: +75 to Max",PSG_20009037,"<b>Performance:</b> +35
<b>Performance:</b> +75 to Max",,PartIconID5,6,All,4,Stock,,,35,75,,,,,,,,1,1
125,"{Stat}: +115
<b>Risk:</b> +2",PSG_20009038,"<b>Performance:</b> +115
<b>Risk:</b> +1",,PartIconID62,7,All,4,Risky,,1,115,,,,,,,,,1,1
126,"Red Zone: -40%
<b>Risk:</b> +1",PSG_20009039,"<b>Red Zone:</b> -40%
<b>Risk:</b> +1",,PartIconID6,5,All,4,Risky,,1,,,,,,,-40,,,1,1
127,"{Stat}: -35
<b>Risk:</b> -1",PSG_20009040,"<b>Performance:</b> -35
<b>Risk:</b> -1",,EngineerIconNoRisk43,4,All,4,Stock,,-1,-35,,,,,,,,,1,1
128,"Max Reliability: -15%
<b>Risk:</b> -2
Additional Cost: {Cost}",PSG_20009041,"<b>Max Reliability:</b> -15%
<b>Risk:</b> -2
<b>Additional Cost:</b> 735,000",,EngineerIconNoRisk43,4,All,4,Stock,,-2,,,,-15,,"735,000.00",,,,1,1
129,"Build Time: +5 Days
{Stat}: +100
<b>Risk:</b> +1",PSG_20009042,"<b>Build Time:</b> +2 Days
<b>Performance:</b> +115
<b>Risk:</b> +1",,PartIconID9,4,All,4,Risky,,1,115,,,,6,,,,,1,1
130,"{Stat}: + 145
Red Zone: -15%
<b>Risk:</b> +3",PSG_20009043,"<b>Build Time:</b> +4 Days
<b>Performance:</b> +220
<b>Performance:</b> -40 to Max
<b>Risk:</b> +3",,PartIconID8,7,All,5,Risky,,3,220,-40,,,9,,,,,1,1
131,"{Stat}: +50
{Stat}: +110 to Max
<b>Risk:</b> +2",PSG_20009044,"<b>Performance:</b> +50
<b>Performance:</b> +155 to Max
<b>Max Reliability:</b> +15%
<b>Red Zone:</b> -15%
<b>Risk:</b> +2",,PartIconID5,6,All,5,Risky,,2,50,155,,15,,,-15,,,1,1
132,"{Stat}: +160
{Stat}: -30 to Max
Additional Cost: {Cost}",PSG_20009045,"<b>Performance:</b> +160
<b>Performance:</b> -30 to Max
<b>Risk:</b> +2",,PartIconID18,2,All,5,Stock,,2,160,-30,,,,,,,,1,1
133,"{Stat}: +350
During: Qualifying (engine only)",PSG_20009046,"<b>Performance:</b> +350
<b>During:</b> Qualifying",,PartIconID2,7,Engine,5,Stock,Qualifying,,350,,,,,,,,,1,1
134,"Red Zone: -35%
Max Reliability: +25%",PSG_20009047,"<b>Red Zone:</b> -20%
<b>Max Reliability:</b> +20%",,PartIconID3,,All,5,Stock,,,,,,20,,,-20,,,1,1
135,"Build Time: +15 Days
{Stat}: +130
Reliability: +70%
Additional Cost: {Cost}
<b>Risk:</b> +1",PSG_20009048,"<b>Build Time:</b> +16 Days
<b>Performance:</b> +130
<b>Reliability:</b> +70%",,PartIconID9,4,All,5,Risky,,,130,,70,,21,,,,,1,1
136,"Build Time: +6 Days
{Stat}: +95
Max Reliability: +10%",PSG_20009049,"<b>Build Time:</b> +8 Days
<b>Performance:</b> +95
<b>Max Reliability:</b> +10%",,PartIconID14,1,All,5,Stock,,,95,,,10,13,,,,,1,1
