"Game Area","Source","Criteria","Who","English","ID","Trigger","User Data","Repeatable","Memory","Notes","English Old","French","Italian","German","Spanish","Brasilian","Dutch","Hungarian","Polish","Russian"
"Design","DilemmaButtonText","","Assistant","Sounds good!","PSG_10006135","","Transaction = -0.6; NewPartPerformance = +35;","TRUE","","","","Bonne idée !","Sembra una buona idea!","Klingt gut!","¡Parece buena idea!","Parece bom!","Klinkt goed!","Jól hangzik!","Brzmi nieźle!","Годится!"
"Design","DilemmaButtonText","","Assistant","It's too much!","PSG_10006136","","","TRUE","","","","C'est trop !","No, è troppo!","Das ist übertrieben!","¡Es demasiado!","Muito caro!","Dat is te veel gevraagd!","Túl sok!","Za dużo to kosztuje!","Дорого!"
"Design","Dilemma","Type = Header;","Assistant","Server Problems","PSG_10003728","Type = Dilemma4;","MailType = Dilemma; MailGroup = Team","TRUE","","","","Problèmes de serveur","Problemi al server","Serverprobleme","Problemas con el servidor","Problemas com o servidor","Serverproblemen","Szervergondok","Problemy z serwerem","Проблемы с сервером"
"Design","Dilemma","Type = Dilemma4;","Assistant","Hi {Player:FirstName},

We have some work being done on our data centre and networking capabilities at the moment, and the technicians have found that our data storage is a bit out of date… 

The chairman caught wind of it, and now he wants to upgrade the entire system! It'll cost a fortune!","PSG_10006138","","MailButton = PSG_10006139; MailButton = PSG_10006140;","TRUE","","","","Bonjour {Player:FirstName},

Nous faisons des travaux sur notre centre de données et sur les compétences de notre réseau en ce moment, et les techniciens ont découvert que notre espace de stockage était obsolète... 

Le président en a eu vent et veut tout améliorer.. Cela va coûter une fortune !","<gender^Chairman=F>
Ciao {Player:FirstName},

Stanno facendo dei lavori nel nostro centro dati relativi alle capacità del server al momento, e i tecnici hanno scoperto che la nostra memoria dati è un tantino obsoleta... 
La presidente è stata messa al corrente e ora vuole aggiornare l'intero sistema! Ci costerà una fortuna!
</gender>
<gender^Chairman=M>
Ciao {Player:FirstName},

Stanno facendo dei lavori nel nostro centro dati relativi alle capacità del server al momento, e i tecnici hanno scoperto che la nostra memoria dati è un tantino obsoleta... 
Il presidente è stato messo al corrente e ora vuole aggiornare l'intero sistema! Ci costerà una fortuna!
</gender>
","Hallo {Player:FirstName},

wir lassen gerade Arbeiten an unserem Datenzentrum und Netzwerk durchführen, und die Fachleute sagen, dass unser Datenspeicher etwas veraltet ist ...

Der Vorsitzende hat davon Wind gekriegt und will jetzt alles aufrüsten lassen! Das kostet ein Vermögen!","Hola {Player:FirstName},

Están ajustando algunas cosas en el centro de datos y en los servidores de red y los técnicos dicen que nuestra tecnología está un poco anticuada...

¡Los mandamases se han enterado y quieren que actualicemos todo el sistema! ¡Nos va a costar un riñón!","Olá {Player:FirstName},

Nós estamos fazendo alguns reparos no nosso centro de dados e na capacidade de rede, e os técnicos descobriram que nosso armazenamento de dados está um pouco desatualizado...

A presidência ficou sabendo e agora quer atualizar todo o sistema! Vai custar uma fortuna!","Hallo {Player:FirstName},

Er wordt momenteel gewerkt aan ons gegevenscentrum en onze netwerkmogelijkheden, en de technici zijn erachter gekomen dat onze gegevensopslag een beetje verouderd is…

De voorzitter heeft er lucht van gekregen, en nu wil hij het hele systeem upgraden! Dat kost een fortuin!","Helló, {Player:FirstName},

Jelenleg éppen az adatközponton és a hálózati kapacitáson dolgozunk, és a technikusok azt találták, hogy az adattárolásunk kissé elavult…

Az elnök is kiszimatolta a dolgot, és most fejleszteni akarja az egész rendszert! Ami egy vagyon!","Witaj, {Player:FirstName},

Trwają teraz prace nad naszym centrum danych oraz siecią. Technicy zauważyli, że cały nasz system jest nieco przestarzały... 

Prezes już o tym wie i teraz chce kupić do wszystkiego nowy sprzęt! To będzie sporo kosztowało!","Привет, {Player:FirstName}!

Мы выполняли кое-какую работу по базе данных и сетевым возможностям, и специалисты обнаружили, что наше хранилище данных чуть-чуть устарело... 

Председатель об этом прослышал и теперь хочет обновить всю систему! Это обойдется нам в целое состояние!"
"Design","DilemmaButtonText","","Assistant","Time for an upgrade!","PSG_10006139","","Transaction = -0.5;","TRUE","","","","C'est l'heure d'une mise à jour !","È ora di aggiornarci!","Zeit für ein Upgrade!","Va tocando una actualización","Hora de um upgrade!","Tijd voor een upgrade!","Ideje fejleszteni!","Pora na nowy sprzęt!","Пора обновлять!"
"Design","DilemmaButtonText","","Assistant","It'll be fine…","PSG_10006140","","ChairmanMorale = -25;","TRUE","","","","Tout ira bien...","Andrà tutto bene...","Das wird schon ...","Nos basta con lo que tenemos...","Está funcionando bem...","Alles komt in orde…","Jó lesz az úgy…","Stary wystarczy...","Обойдемся..."
"Factory","Dilemma","Type = Header; DilemmaType = EngineCoolingSystem","Engineer","{Parts} Issue","PSG_10003729","Type = Dilemma5;","MailType = Dilemma; MailGroup = Team","TRUE","","","","Problème avec le système de refroidissement du moteur","Problema col sistema di raffreddamento del motore","Problem am Motorkühlsystem","Problema con el sistema de refrigeración del motor","Problema no sistema de arrefecimento do motor","Probleem met koelsysteem motor","Motorhűtési rendszerprobléma","Problem z układem chłodzenia","Проблема с системой охлаждения двигателя"
"Factory","Dilemma","Type = Dilemma5; ","Engineer","{Player:FirstName},

Erm, bit of a disaster... We found a malfunction in our most recent {Parts}.These parts' reliability will be out of the window if we can't fix it! 

What should we do?","PSG_10006142","","MailButton = PSG_10006143; MailButton = PSG_10006144;","TRUE","","","","{Player:FirstName},

Euh... c'est une catastrophe... Nous avons trouvé une fuite au système de refroidissement du moteur de {Driver1:Name}... La fiabilité de la pièce sera nulle si nous ne la réparons pas !

Que faire ?","{Player:FirstName},

Ehm, abbiamo un problema... C'è una perdita nel sistema di raffreddamento del motore di {Driver1:Name}... L'affidabilità del componente andrà in fumo se non ce ne occupiamo subito!

Cosa facciamo?","{Player:FirstName},

wir haben ein Problem ... Wir haben ein Leck im Motorkühlsystem von {Driver1:Name} gefunden. Wenn wir das nicht reparieren können, ist die Zuverlässigkeit des Teils dahin.

Was sollen wir tun?","{Player:FirstName},

Tenemos un problemilla... Hemos encontrado un escape en el sistema de refrigeración del motor de {Driver1:Name}... ¡Si no lo arreglamos no respondemos de la fiabilidad!

¿Qué hacemos?","{Player:FirstName},

Ah, tivemos um pequeno desastre... descobrimos um vazamento no sistema de arrefecimento do motor de {Driver1:Name}... a confiabilidade da peça já era, a menos que possamos consertar!

O que fazemos?","{Player:FirstName},

Ehm, dit is een ramp… We hebben een lekkage gevonden in het motorkoelsysteem van {Driver1:Name}... Als we dit niet kunnen repareren, kunnen we de betrouwbaarheid van het onderdeel wel op onze buik schrijven!

Wat moeten we doen?","{Player:FirstName},

Ööö, egy kisebb katasztrófa történt… Szivárgást észleltünk {Driver1:Name} motorhűtési rendszerében... Az alkatrész megbízhatóságát kidobhatjuk az ablakon, ha nem javítjuk ki!

Mit tegyünk?","{Player:FirstName},

Hm, mamy problem... {Driver1:Name} ma tu swój samochód i znaleźliśmy przeciek w układzie chłodzenia... Jeśli tego nie naprawimy, nie wiadomo, co z tego wyniknie!

Co mamy zrobić?","{Player:FirstName}!

Ну, дело плохо... Обнаружилась течь в системе охлаждения двигателя на болиде пилота {Driver1:Name}... Если это не исправить, то надежность детали опустится до неприемлемых уровней!

Что будем делать?"
"Factory","DilemmaButtonText","","Engineer","Make with the fixing!","PSG_10006143","","Transaction = -0.5;","TRUE","","","","Réparez-moi ça !","Sistemiamolo!","Repariert es!","¡Poneos pero ya!","Pode consertar!","Schiet op met die reparatie!","Csináljátok meg a javítást!","Zajmijcie się naprawą!","Приступайте к ремонту!"
"Factory","DilemmaButtonText","","Engineer","Don't worry about it!","PSG_10006144","","NewPartReliability = -50;","TRUE","","","","Laissez tomber !","Non te ne preoccupare!","Macht euch keine Sorgen!","Anda ya, ¡exagerados!","Não se preocupe com isso!","Maak je geen zorgen!","Ne aggódj miatta!","Nie przejmujcie się tak!","Все в порядке!"
"Factory","Dilemma","Type = Header;","Engineer","Factory Distractions","PSG_10003730","Type = Dilemma6;","MailType = Dilemma; MailGroup = LeadDesigner","TRUE","","","","Distractions à l'usine","Distrazioni allo stabilimento","Ablenkung in der Fabrik","Distracciones en la fábrica","Distrações na fábrica","Afleiding op de fabriek","Üzemi problémák","Rozpraszanie w fabryce","Персонал отвлекается"
"Factory","Dilemma","Type = Dilemma6;","Engineer","<gender^Subject=F>
Hi {Player:FirstName},

Ugh, {Subject:Name} is constantly on her phone, and she keeps disturbing us when we're working on her car!

Can you <i>please</i> tell her to stop doing it? 
</gender>
<gender^Subject=M>
Hi {Player:FirstName},

Ugh, {Subject:Name} is constantly on his phone, and he keeps disturbing us when we're working on his car!

Can you <i>please</i> tell him to stop doing it? 
</gender>
","PSG_10006146","","MailButton = PSG_10006147; MailButton = PSG_10006148; Mailbutton = PSG_10006149; SetSubject = RandomPlayerDriver;","TRUE","","","","<gender^Subject=F>
Bonjour {Player:FirstName},

Euh... {Subject:Name} est toujours pendue au téléphone, et elle nous dérange sans cesse lorsque nous travaillons sur sa voiture !

Pourriez-vous <i>s'il vous plaît</i> lui dire d'arrêter ?
</gender>
<gender^Subject=M>
Bonjour {Player:FirstName},

Euh... {Subject:Name} est toujours pendu au téléphone, et il nous dérange sans cesse lorsque nous travaillons sur sa voiture !

Pourriez-vous <i>s'il vous plaît</i> lui dire d'arrêter ?
</gender>
","<gender^Subject=F>
Ciao {Player:FirstName},

Ehm, {Subject:Name} è sempre al telefono e ci disturba mentre lavoriamo alla sua auto!

Potresti <i>gentilmente</i> dirle di smetterla?
</gender>
<gender^Subject=M>
Ciao {Player:FirstName},

Ehm, {Subject:Name} è sempre al telefono e ci disturba mentre lavoriamo alla sua auto!

Potresti <i>gentilmente</i> dirgli di smetterla?
</gender>
","Hallo {Player:FirstName},

{Subject:Name} hängt dauernd am Telefon und stört uns damit bei unserer Arbeit am Fahrzeug!

Würden Sie <i>bitte</i> ein Machtwort sprechen, damit das aufhört?","Hola {Player:FirstName},

Esto... {Subject:Name} está siempre al teléfono y no deja de distraernos cuando le estamos arreglando el coche.

¿Podrías decirle que nos deje trabajar en paz?","<gender^Subject=F>
Olá {Player:FirstName},

Argh, {Subject:Name} está constantemente no telefone e fica nos perturbando quando estamos trabalhando em seu carro!

Você poderia <i>por favor</i> pedir para ela parar com isso?
</gender>
<gender^Subject=M>
Olá {Player:FirstName},

Argh, {Subject:Name} está constantemente no telefone e fica nos perturbando quando estamos trabalhando em seu carro!

Você poderia <i>por favor</i> pedir para ele parar com isso?
</gender>
","<gender^Subject=F>
Hallo {Player:FirstName},

Pfft, {Subject:Name} zit continu op haar telefoon, en ze blijft ons maar storen als we aan haar wagen werken!

Wil jij haar <i>alsjeblieft</i> vragen om daarmee op te houden? 
</gender>
<gender^Subject=M>
Hallo {Player:FirstName},

Pfft, {Subject:Name} zit continu op zijn telefoon, en hij blijft ons maar storen als we aan zijn wagen werken!

Wil jij hem <i>alsjeblieft</i> vragen om daarmee op te houden? 
</gender>
","Helló, {Player:FirstName},

Izé, hát, {Subject:Name} állandóan telefonál, és egyfolytában zavar minket, míg a kocsiján dolgozunk!

Lehetne, hogy <i>szépen</i> megkérd, hagyja ezt abba?","<gender^Subject=F>
Witaj, {Player:FirstName},

Ech, {Subject:Name} ciągle gada przez telefon i przeszkadza nam, gdy pracujemy nad jej samochodem!

Możesz coś z tym zrobić? 
</gender>
<gender^Subject=M>
Witaj, {Player:FirstName},

Ech, {Subject:Name} ciągle gada przez telefon i przeszkadza nam, gdy pracujemy nad jego samochodem!

Możesz coś z tym zrobić?
</gender>
","<gender^Subject=F>
Привет, {Player:FirstName}!

Слушайте, {Subject:Name} постоянно висит на телефоне и отвлекает нас от работы над болидом!

Скажите ей, <i>пожалуйста</i>, что пора с этим кончать!
</gender>
<gender^Subject=M>
Привет, {Player:FirstName}!

Слушайте, {Subject:Name} постоянно висит на телефоне и отвлекает нас от работы над болидом!

Скажите ему, <i>пожалуйста</i>, что пора с этим кончать!
</gender>"
"Factory","DilemmaButtonText","","Engineer","<gender^Subject=F>
I'll fine her!
</gender>
<gender^Subject=M>
I'll fine him!
</gender>","PSG_10006147","","Transaction = +0.1; SubjectMorale = -25; ","TRUE","","","","Je vais lui coller un amende !","Si prenderà una multa!","Das verlangt nach einem Bußgeld!","¡Multa al canto!","Vou lhe aplicar uma multa!","Ik geef wel een boete!","Meg fogom büntetni!","Dostanie grzywnę!","<gender^Subject=F>
Я ее оштрафую!
</gender>
<gender^Subject=M>
Я его оштрафую!
</gender>"
"Factory","DilemmaButtonText","","Engineer","With pleasure!","PSG_10006148","","SubjectMorale = -15; ","TRUE","","","","Avec plaisir !","Con piacere!","Mit Vergnügen!","¡Será un placer!","Com prazer!","Graag zelfs!","Örömmel!","Z przyjemnością!","С удовольствием!"
"Factory","DilemmaButtonText","","Engineer","Deal with it!","PSG_10006149","","SubjectMorale = +25; SubjectMechanicRelationship = -25; ","TRUE","","","","Débrouillez-vous !","Fattene una ragione!","Findet euch damit ab!","¿Yo? ¡Decídselo vosotros!","Aceite isso e continue trabalhando!","Los het zelf maar op!","Oldjátok meg!","Jakoś przeżyjecie!","Разберитесь сами!"
