Location,Circuit ID,Location ID,Country,Country ID,Sprite Name,Scene,Track Layout,Track Length,Travel Cost,Hemisphere,Type,Climate,TS,ACC,DEC,LSC,MSC,HSC,First Tyre Option,Second Tyre Option,Third Tyre Option,Tyre Wear Rate,Fuel Burn Rate,Minimap Rotation,Minimap Axis,Safety Car Flag Chance,Virtual Safety Car Chance,Fastest Lap Time (Minutes),Track Rubber Modifier,Fastest Lap Driver ID
Tondela,14,PSG_10003768,Portugal,PSG_10001023,Madrid,Madrid,D,3.09,0.05,North,Race Event,Warm,1,3,1,3,2,1,Soft,Medium,Hard,High,High,0,x,0.65,0.2,1.612173913,1,16
Milan,15,PSG_10003769,Italy,PSG_10000966,Milan,Milan,A,3.72,0.05,North,Race Event,Moderate,3,1,3,1,1,3,Soft,Medium,Hard,Low,Medium,0,x,0.5,0.35,1.940869565,1,17
Milan,16,PSG_10003769,Italy,PSG_10000966,Milan,Milan,B,3.73,0.05,North,Race Event,Moderate,3,1,3,2,1,3,Soft,Medium,Hard,Low,VeryLow,0,x,0.5,0.35,1.946086957,1,18
Milan,17,PSG_10003769,Italy,PSG_10000966,Milan,Milan,C,2.4,0.05,North,Race Event,Moderate,3,1,3,3,1,2,Soft,Medium,Hard,Low,VeryHigh,0,x,0.5,0.35,1.252173913,1,19
Cape Town,18,PSG_10003770,SouthAfrica,PSG_10001045,Cape Town,Cape Town,A,2.3,0.065,South,Race Event,Warm,1,3,3,3,1,1,UltraSoft,SuperSoft,Soft,Medium,Low,0,x,0.75,0.15,1.2,0.6,20
Munich,19,PSG_10003771,Germany,PSG_10000948,Munich,Munich,A,3.08,0.05,North,Race Event,Moderate,1,3,3,2,3,1,Soft,Medium,Hard,VeryLow,Low,270,y,0.55,0.5,1.606956522,1,21
Munich,20,PSG_10003771,Germany,PSG_10000948,Munich,Munich,B,2.72,0.05,North,Race Event,Moderate,2,3,2,3,3,1,Soft,Medium,Hard,VeryLow,VeryLow,270,y,0.6,0.4,1.419130435,1,22
Munich,21,PSG_10003771,Germany,PSG_10000948,Munich,Munich,C,3.1,0.05,North,Race Event,Moderate,2,2,3,3,3,1,SuperSoft,Soft,Medium,VeryLow,High,270,y,0.55,0.5,1.617391304,1,23
Munich,22,PSG_10003771,Germany,PSG_10000948,Munich,Munich,D,3.09,0.05,North,Race Event,Moderate,2,3,2,3,3,1,Soft,Medium,Hard,VeryLow,VeryHigh,270,y,0.55,0.5,1.612173913,1,24
Phoenix,23,PSG_10003772,UnitedStates,PSG_10001070,Phoenix,Phoenix,A,1.98,0.075,North,Race Event,Dry,3,2,1,1,1,3,Soft,Medium,Hard,Low,Medium,0,x,0.85,0,1.033043478,1,25
Phoenix,24,PSG_10003772,UnitedStates,PSG_10001070,Phoenix,Phoenix,B,3.5,0.075,North,Race Event,Dry,3,1,2,3,1,3,Soft,Medium,Hard,VeryHigh,Low,0,x,0.75,0.45,1.826086957,1,26
Phoenix,25,PSG_10003772,UnitedStates,PSG_10001070,Phoenix,Phoenix,C,2.7,0.075,North,Race Event,Dry,3,1,2,2,3,3,SuperSoft,Soft,Medium,VeryHigh,Low,0,x,0.75,0.45,1.408695652,1,27
Phoenix,26,PSG_10003772,UnitedStates,PSG_10001070,Phoenix,Phoenix,D,2.74,0.075,North,Race Event,Dry,3,1,2,2,1,3,Soft,Medium,Hard,VeryHigh,VeryLow,0,x,0.75,0.45,1.429565217,1,28
Phoenix,27,PSG_10003772,UnitedStates,PSG_10001070,Phoenix,Phoenix,E,2.64,0.075,North,Race Event,Dry,3,1,2,3,1,3,Soft,Medium,Hard,VeryHigh,High,0,x,0.75,0.45,1.377391304,1,29
Doha,28,PSG_10003773,Qatar,PSG_10001024,Doha,Qatar,A,3.52,0.07,North,Race Event,Dry,1,3,2,3,1,1,Soft,Medium,Hard,Medium,High,0,x,0.8,0.1,1.836521739,1,30
Doha,29,PSG_10003773,Qatar,PSG_10001024,Doha,Qatar,B,2.69,0.07,North,Race Event,Dry,1,3,3,3,2,1,Soft,Medium,Hard,Medium,Low,0,x,0.8,0.1,1.403478261,1,31
Doha,30,PSG_10003773,Qatar,PSG_10001024,Doha,Qatar,C,3.46,0.07,North,Race Event,Dry,1,3,2,3,2,1,Soft,Medium,Hard,Medium,Low,0,x,0.8,0.1,1.805217391,1,32
Rio de Janeiro,31,PSG_10003774,Brazil,PSG_10000906,Rio de Janeiro,Rio de Janeiro,A,3.5,0.08,South,Race Event,Tropical,3,1,1,1,3,3,UltraSoft,SuperSoft,Soft,Medium,High,0,x,0.65,0.5,1.826086957,1,33
Rio de Janeiro,32,PSG_10003774,Brazil,PSG_10000906,Rio de Janeiro,Rio de Janeiro,B,3.32,0.08,South,Race Event,Tropical,3,1,1,2,2,3,UltraSoft,SuperSoft,Soft,Medium,VeryHigh,0,x,0.65,0.5,1.732173913,1,34
Rio de Janeiro,33,PSG_10003774,Brazil,PSG_10000906,Rio de Janeiro,Rio de Janeiro,C,3.41,0.08,South,Race Event,Tropical,3,1,1,2,3,3,UltraSoft,SuperSoft,Soft,Medium,Low,0,x,0.65,0.5,1.779130435,1,35
Black Sea,34,PSG_10003775,RussianFederation,PSG_10001026,Black Sea,Sochi,A,2.96,0.05,North,Race Event,Moderate,1,3,1,2,2,3,Soft,Medium,Hard,VeryHigh,VeryLow,0,x,0.75,0.25,1.544347826,0.8,36
Black Sea,35,PSG_10003775,RussianFederation,PSG_10001026,Black Sea,Sochi,B,2.41,0.05,North,Race Event,Moderate,3,2,1,1,3,3,Soft,Medium,Hard,VeryHigh,VeryHigh,0,x,0.75,0.25,1.257391304,0.8,37
Black Sea,36,PSG_10003775,RussianFederation,PSG_10001026,Black Sea,Sochi,C,2.08,0.05,North,Race Event,Moderate,2,2,1,3,3,2,Soft,Medium,Hard,VeryHigh,Medium,0,x,0.75,0.25,1.085217391,0.8,38
Black Sea,37,PSG_10003775,RussianFederation,PSG_10001026,Black Sea,Sochi,D,2.98,0.05,North,Race Event,Moderate,2,2,1,3,2,3,SuperSoft,Soft,Medium,VeryHigh,Low,0,x,0.75,0.25,1.554782609,0.8,39
Black Sea,48,PSG_10003775,RussianFederation,PSG_10001026,Black Sea,Sochi,E,2.5,0.05,North,Race Event,Moderate,3,2,1,3,2,3,SuperSoft,Soft,Medium,VeryHigh,Low,0,x,0.75,0.25,1.304347826,0.8,39
Black Sea,49,PSG_10003775,RussianFederation,PSG_10001026,Black Sea,Sochi,F,2.6,0.05,North,Race Event,Moderate,3,3,1,2,2,3,SuperSoft,Soft,Medium,VeryHigh,Low,0,x,0.75,0.25,1.356521739,0.8,39
Singapore,38,PSG_10003776,Singapore,PSG_10001039,Singapore,Singapore,A,2.63,0.13,South,Race Event,Tropical,1,3,3,3,1,1,SuperSoft,Soft,Medium,High,VeryHigh,0,x,0.8,0.05,1.372173913,0.6,40
Sydney,39,PSG_10003779,Australia,PSG_10000891,Sydney,Sydney,A,3.62,0.15,South,Race Event,Moderate,1,3,2,3,1,1,SuperSoft,Soft,Medium,High,Medium,0,x,0.75,0.25,1.888695652,0.6,41
Yokohama,40,PSG_10003777,Japan,PSG_10000969,Yokohama,Yokohama,A,3.14,0.13,North,Race Event,Tropical,1,1,3,1,3,2,SuperSoft,Soft,Medium,Medium,Low,0,x,0.5,0.4,1.63826087,1,42
Yokohama,41,PSG_10003777,Japan,PSG_10000969,Yokohama,Yokohama,B,2.65,0.13,North,Race Event,Tropical,2,1,3,3,3,2,Soft,Medium,Hard,Medium,VeryLow,0,x,0.5,0.4,1.382608696,1,43
Yokohama,42,PSG_10003777,Japan,PSG_10000969,Yokohama,Yokohama,C,3.11,0.13,North,Race Event,Tropical,3,3,2,1,2,3,SuperSoft,Soft,Medium,Medium,High,0,x,0.5,0.4,1.622608696,1,44
Dubai,43,PSG_10003778,UnitedArabEmirates,PSG_10001068,Dubai,Dubai,A,4.08,0.07,North,Race Event,Dry,3,1,3,1,2,3,SuperSoft,Soft,Medium,VeryLow,Low,0,x,0.65,0.2,2.128695652,1,45
Dubai,44,PSG_10003778,UnitedArabEmirates,PSG_10001068,Dubai,Dubai,B,3.18,0.07,North,Race Event,Dry,3,2,1,1,3,3,SuperSoft,Soft,Medium,VeryLow,Low,0,x,0.65,0.2,1.659130435,1,46
Dubai,45,PSG_10003778,UnitedArabEmirates,PSG_10001068,Dubai,Dubai,C,2.82,0.07,North,Race Event,Dry,3,2,3,1,2,3,SuperSoft,Soft,Medium,VeryLow,Medium,0,x,0.65,0.2,1.471304348,1,47
Dubai,46,PSG_10003778,UnitedArabEmirates,PSG_10001068,Dubai,Dubai,D,3.94,0.07,North,Race Event,Dry,3,2,1,3,3,2,Soft,Medium,Hard,VeryLow,Low,0,x,0.65,0.2,2.055652174,1,48
