ID,Trait Name,Trait Name ID,Custom Trait Name,Trait Description,Description ID,Custom Trait Description,Type,Repeatable,Length,EventTrigger,Requirement,Probability,Evolves Into,Opposites,Removes Traits,Triggers,TriggersEnd,Shown,All Stats,Braking,Cornering,Smoothness,Overtaking,Consistency,Adaptability,Fitness,Feedback,Focus,Special Case,Special Case Text,Special Case Description,Marketability,Morale,Mechanic,Teammate,Chairman,Improveability,Potential,Fuel Burn,Tyre Wear,Desired Wins,Desired Earnings,Patience
16,Hard Worker,PSG_10002060,,See you at 6am for the pre-morning meeting!,PSG_10002597,,Permanent,,,,,,,17,16,,,,,,,,,,,5,,,,,,,,30,,,,,,,,,
17,Slacker,PSG_10002059,,"Meh, Ill do it this afternoon...",PSG_10002598,,Permanent,,,,,,,16; 297,17,,,,,,,,,,,-5,,,,,,,,-45,,,,,,,,,
18,Greedy,PSG_10002063,,I need all of the new parts!,PSG_10002600,,Permanent,,,,,,,19,18,,,,,,,,,,,,,,CarHappinessBonus,The driver would like to be given every newly-designed part. ,PSG_10009818,,,,,,,,,,,,
19,Selfless,PSG_10002064,,We should do whatevers best for the team.,PSG_10002601,,Permanent,,,,,,,18,19,,,,,,,,,,,,,,CarHappinessNegative,The driver does not mind if they aren't given every newly-designed part.,PSG_10009819,,,,,,,,,,,,
20,Beautiful,PSG_10002065,,Its not my fault I was born with this perfect bone structure.,PSG_10002602,,Permanent,,,,,,,21,20,,,,,,,,,,,,,,,,,60,,,,,,,,,,,
21,Ugly,PSG_10002066,,Why dont I ever get asked to do any adverts?,PSG_10002603,,Permanent,,,,,,,20,21,,,,,,,,,,,,,,,,,-60,,,,,,,,,,,
22,Nice guy,PSG_10002069,,Hey guys! I bought everyone cupcakes! There are some gluten free ones if you have allergies!,PSG_10002606,,Permanent,,,,,,,23,22,,,,,,,,,,,,,,,,,,,10,10,10,,,,,,,
23,Mean,PSG_10002070,,"Hey, if people cant handle my opinions, too bad!",PSG_10002607,,Permanent,,,,,,,22,23,,,,,,,,,,,,,,,,,,,-15,-15,-15,,,,,,,
24,Passionate,PSG_10002058,,To race is to live! To exist on the ragged edge!,PSG_10002596,,Permanent,,,,,,,,24,,,,,,,,,,,,,,NeedMoreTrophiesBeforeRetiring,Driver wants to win trophies before retirement.,PSG_10011092,,,,,,,,,,20,-350,
25,Mercenary,PSG_10002072,,Racing is just a job to me.,PSG_10002610,,Permanent,,,,,,,,25,,,,,,,,,,,,,,NeedLessTrophiesBeforeRetiring,Driver doesn't care about winning trophies before retirement.,PSG_10011230,,,,,,,,,,-20,400,
26,Dedicated,PSG_10003745,,"I was thinking about the front wing aero over the winter break, and I had an idea...",PSG_10002612,,Permanent,,,,,,,,26,,,,,,,,,,,,,,,,,,,20,,,,,,,,,
27,Crazy,PSG_10003746,,"Lizard men! They run EVERYTHING! Youre denying it?! Then youre one of them, I knew it!",PSG_10002613,,Permanent,,,,,,,,27,,,,,,,,,,,,-5,,,,,,,-60,,,,,,,,,
28,OCD,PSG_10001321,,"Is just it me, or are those spanners slightly out of line?",PSG_10001322,,Permanent,,,,,,,,28,,,,,,,,,,,,,,,,,,,-80,,,,,,,,,
29,Pet Dog,PSG_10001323,,That thing just bit one of the mechanics!,PSG_10001324,,Permanent,,,,,,,,29,,,,,,,,,,,,,,,,,,10,-20,,,,,,,,,
30,Annoying Other Half,PSG_10001325,,She spilt her coffee on the front wing again...,PSG_10001326,,Permanent,,,,,,,,30,,,,,,,,,,,,,,,,,,,-30,,,,,,,,,
31,Boring winner,PSG_10001340,,Again? *yawn*,PSG_10001341,,Temp,,8,PostRace,ConsecutiveWins >= 3,15,,,31,,,,,,,,,,,,,,,,,-60,,,,,,,,,,,
32,Chubby,PSG_10001344,,What? No. Its glandular.,PSG_10001345,,Permanent,,,,,,,33,32,,,,,,,,,,,-5,,,,,,,,,,,,,,,,,
33,Health Freak,PSG_10001346,,Celery is a life choice.,PSG_10002616,,Permanent,,,,,,,32,33,,,,,,,,,,,5,,,,,,,,,,,,,,,,,
34,Wise old hand,PSG_10001350,,"Now listen here, sonny boy...",PSG_10002620,,Permanent,,,,,,,,34,,,,,,,,,,,,,,,,,,,20,20,,,,,,,,
35,Old,PSG_10001351,,"Ooh, my hip!",PSG_10001352,,Permanent,,,,Age > 38,,,,35,,,,-5,,,,,,,,,,,,,,,,,,,,,,,,
36,Young gun,PSG_10001353,,Theres a new sheriff in town...,PSG_10002621,,Temp,,52-104,,Age < 21,,,,36,,,,,,,,,,,,,,,,,,,20,,,,,,,,,
37,Greenhorne,PSG_10001354,,What do all of these buttons do?!,PSG_10001355,,Temp,,16,,Age < 18,,,,37,,,,,,,,,,,,,,,,,,,-30,,,,,,,,,
38,Optimist,PSG_10001357,,"Awesome, the fuel tank is still half full!",PSG_10002623,,Permanent,,,,,,,39,38,,,,,,,,,,,,,,,,,,20,,,,,,,,,,
39,Pessimist,PSG_10001358,,What?! The fuel tank is half empty already?,PSG_10002624,,Permanent,,,,,,,38,39,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,
40,Famous Parent,PSG_10001359,,Dont worry... daddy will sort it out.,PSG_10001360,,Permanent,,,,,,,,40,,,,,,,,,,,,,,,,,20,,,,20,,,,,,,
41,Erratic,PSG_10001361,,I do have slight problems with… consistency.,PSG_10003747,,Permanent,,,,,,,42,41,,,,,,,-5,,-5,,,,-5,,,,,,,,,,,,,,,
42,Stable,PSG_10007587,,Move to beige alert!,PSG_10007588,,Permanent,,,,,,,41,42,,,,,3,,3,,3,,,,3,,,,,,,,,,,,,,,
43,Crash Happy,PSG_10002380,,I prefer the term racing incident.,PSG_10002635,,Permanent,,,,,,,44,43,,,,,,,,,,,,,-8,,,,,,,,,,,,,,,
44,Rock Solid,PSG_10001374,,Ive not crashed in years!,PSG_10002636,,Permanent,,,,,,,43,44,,,,,,,,,,,,,7,,,,,,,,,,,,,,,
45,Overtake specialist,PSG_10001375,,"If you no longer go for a gap that exists, you are no longer a racing driver...",PSG_10002723,,Permanent,,,,,,,46,45,,,,,,,,10,,,,,,,,,,,,,,,,,,,,
46,Action Averse,PSG_10001376,,I like a nice clear track.,PSG_10002379,,Permanent,,,,,,,45,46,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,
47,Chaser,PSG_10001377,,Ive got them in my sights...,PSG_10002637,,Permanent,,,,,,,48,47,,,,,3,3,3,3,3,,,,7,P2InRace,[Placeholder] Bonus applies when in second place in the race,PSG_10009820,,,,,,,,,,,,
48,Hates chasing,PSG_10001378,,Why cant they just all get out of my way?!,PSG_10002638,,Permanent,,,,,,,47,48,,,,,-3,-3,-3,-3,-3,,,,-5,P2InRace,[Placeholder] Bonus applies when in second place in the race,PSG_10009820,,,,,,,,,,,,
49,Born Leader,PSG_10001379,,The front is where I belong.,PSG_10002641,,Permanent,,,,,,,50,49,,,,,2,2,2,,4,,,,8,P1InRace,[Placeholder] Bonus applies when in first place in the race,PSG_10009821,,,,,,,,,,,,
50,Hates Leading,PSG_10001380,,Im like a fighter pilot... I need a target!,PSG_10002724,,Permanent,,,,,,,49,50,,,,,-3,-3,-3,,-5,,,,-5,P1InRace,[Placeholder] Bonus applies when in first place in the race,PSG_10009821,,,,,,,,,,,,
51,First Lap Hero,PSG_10001381,,I live for the run down to Turn 1!,PSG_10002381,,Permanent,,,,,,,52,51,,,,10,,,,,,,,,,RaceLap1,[Placeholder] Bonus applies when in first lap of the race,PSG_10009822,,,,,,,,,,,,
52,First Lap Panic,PSG_10001382,,There are too many cars all over the place!,PSG_10002639,,Permanent,,,,,,,51,52,,,,-10,,,,,,,,,,RaceLap1,[Placeholder] Bonus applies when in first lap of the race,PSG_10009822,,,,,,,,,,,,
53,Easy on Fuel,PSG_10001383,,"Saving the world, one lap at a time.",PSG_10002640,,Permanent,,,,,,,54,53,,,,,,,,,,,,,,FuelBurn(Low),[Placeholder] Burning less fuel than usual.,PSG_10009823,,,,,,,,-50,,,,
54,Fuel Hungry,PSG_10001384,,Its there to be used!,PSG_10002644,,Permanent,,,,,,,53,54,,,,,,,,,,,,,,FuelBurn(High),[Placeholder] Burning more fuel than usual.,PSG_10009824,,,,,,,,50,,,,
55,Radio Shy,PSG_10001387,,"Leave me alone, I know what Im doing!",PSG_10002645,,Permanent,,,,,,,56,55,,,,,,,,,,,,-5,,,,,,,,,,,,,,,,
56,Chatty,PSG_10001388,,I could have been a hairdresser.,PSG_10002646,,Permanent,,,,,,,55,56,,,,,,,,,,,,3,,,,,20,,20,,,,,,,,,
59,DRS Expert,PSG_10001391,,Its a quality feature!,PSG_10002643,,Permanent,,,,,,,60,59,,,,,,,,7,,,,,,OneOnOne,,PSG_10009840,,,,,,,,,,,,
60,Bad at DRS,PSG_10001392,,Why cant they just let us race?!,PSG_10002642,,Permanent,,,,,,,59,60,,,,,,,,-6,,,,,,OneOnOne,,PSG_10009840,,,,,,,,,,,,
61,KERS Expert,PSG_10001393,,I love choosing when to deploy it!,PSG_10003750,,Permanent,,,,,,,62,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Bad at KERS,PSG_10001396,,"Another stupid gimmick, ruining the sport!",PSG_10003751,,Permanent,,,,,,,61,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,Late Braker,PSG_10001394,,I like to scare myself a little on every corner.,PSG_10002676,,Permanent,,,,,,,64,63,,,,,5,,-2,,,,,,,,,,,,,,,,,,,,,
64,Early Braker,PSG_10001397,,I prefer to make sure Im going to get around the corner…,PSG_10003752,,Permanent,,,,,,,63,64,,,,,-5,,2,,,,,,,,,,,,,,,,,,,,,
65,Racer,PSG_10001395,,Fighting it out in a pack of 20 cars… how wonderful!,PSG_10003753,,Permanent,,,,,,,,65,,,,,3,3,3,6,3,4,,,2,Race,Bonus applies during race only.,PSG_10009825,,,,,,,,,,,,
66,Timesheet Hero,PSG_10004146,,"Its all about putting in the perfect lap, free from distractions.",PSG_10003754,,Permanent,,,,,,,,66,,,,5,,,,,,,,,,Qualifying; Practice,Bonus applies during qualifying and practice sessions only.,PSG_10009826,,,,,,,,,,,,
67,Gives Great Feedback,PSG_10004147,,Take the rear wing down a couple of degrees…,PSG_10003755,,Permanent,,,,,,,68,67,,,,,,,,,,,,8,,,,,,,,,,,,,,,,
68,Gives Bad Feedback,PSG_10001398,,I dunno! Just make it faster!,PSG_10003756,,Permanent,,,,,,,67,68,,,,,,,,,,,,-8,,,,,,,,,,,,,,,,
69,Smooth Braker,PSG_10001399,,The only thing smoother than my braking... is my dating.,PSG_10002727,,Permanent,,,,,,,70,69,,,,,2,,5,,,,,,,,,,,,,,,,,,,,,
70,Flat Spotter,PSG_10001400,,The tyres look like 50p pieces again...,PSG_10002674,,Permanent,,,,,,,69,70,,,,,-5,,-5,,,,,,,,,,,,,,,,,,,,,
71,Handles Complex Steering Wheel,PSG_10001401,,"Ah, its just like my favourite video game!",PSG_10002675,,Permanent,,,,,,,72,71,,,,,,,,,,5,,,,,,,,,,,,,,,,,,
72,"Keep It Simple, Stupid",PSG_10001402,,I prefer my buttons to be made of chocolate.,PSG_10002685,,Permanent,,,,,,,71,72,,,,,,,,,,-5,,,,,,,,,,,,,,,,,,
73,Wet Weather Pro,PSG_10001403,,Im siiiinging in the raiiiin!,PSG_10002686,,Permanent,,,,,,,74,73,,,,,3,3,3,,5,5,,,6,WetSession,Bonus applies when the circuit is wet.,PSG_10009827,,,,,,,,,,,,
74,Wet Weather Struggler,PSG_10001404,,Cant we just call it off? Its pouring!,PSG_10002687,,Permanent,,,,,,,73,74,,,,,-5,-5,-3,,-5,-3,,,-8,WetSession,Bonus applies when the circuit is wet.,PSG_10009827,,,,,,,,,,,,
77,Home Race Hero,PSG_10001407,,Theres nothing better than hearing the home fans chant your name!,PSG_10002382,,Permanent,,,,,,,78,77,,,,5,,,,,,,,,,HomeRace,Bonus applies during the driver's home race.,PSG_10009828,,,,,,,,,,,,
78,Wilts At Home,PSG_10001408,,I hate the home race spotlight!,PSG_10002383,,Permanent,,,,,,,77,78,,,,-5,,,,,,,,,,HomeRace,Bonus applies during the driver's home race.,PSG_10009828,,,,,,,,,,,,
79,Crashed Big in {BigCrashLocation},PSG_10001409,,I wake up having nightmares about that corner...,PSG_10002384,,Permanent,,,,,,,,79,,,,-5,,,,,,,,,,{Track},Bonus only applies in a specific location.,PSG_10009829,,,,,,,,,,,,
80,Aggressive,PSG_10001412,,How can a crash be my fault when the guy in front is so slow?!,PSG_10003757,,Permanent,,,,,,,81,80,,,,,,,-3,8,,,,,-3,,,,,,,,,,,,,,,
81,Passive,PSG_10001413,,"I just… yknow... let things happen out there, dude.",PSG_10003758,,Permanent,,,,,,,80,81,,,,,,,,-5,,,,,,,,,,,,,,,,,,,,
82,Lighting Reactions,PSG_10001414,,Like the cat that got been bitten by a radioactive spider.,PSG_10002681,,Permanent,,,,,,,83,82,,,,,,,,,,,,,8,,,,,,,,,,,,,,,
83,Slow Reactions,PSG_10001415,,Who said that?,PSG_10002728,,Permanent,,,,,,,82,83,,,,,,,,,,,,,-6,,,,,,,,,,,,,,,
84,Joined Cult,PSG_10005349,,Have you guys heard about Zodion?,PSG_10005350,,Temp,,2-8,,,2,85,,84,Source = JoinedCult,,PlayerDriverOnly,,,,,,,,,,-3,,,,,30,,,,,,,,,,
85,Committed Cultist,PSG_10005351,,Zodion has opened up my soul!,PSG_10005352,,Temp,,8-32,,Trait = 84,50,86,,85,Source = CommittedCultist,,PlayerDriverOnly,,,,,,,,,,-5,,,,,40,,,,,,,,,,
86,Cult Leader,PSG_10005353,,Who needs motorsport when you can spread the word of Zodion?!,PSG_10005354,,Temp,,20-60,,Trait = 85,50,,,86,Source = CultLeader,,PlayerDriverOnly,,-2,-2,-2,-2,-2,-2,-2,-5,-5,,,,,50,,,,,,,,,,
87,Found Religion,PSG_10005355,,Its myself that Ive found really.,PSG_10005356,,Temp,,2-12,,,10,88,,87,Source = FoundReligion,,PlayerDriverOnly,,,,,,,,,,3,,,,,10,,,,,,,,,,
88,Committed to Religion,PSG_10005357,,Its very important to my life.,PSG_10005358,,Temp,,10-40,,Trait = 87,50,89,,88,Source = CommittedToReligion,,PlayerDriverOnly,,,,,,,,,,6,,,,,20,,,,,,,,,,
89,Religious Minister,PSG_10005359,,"Its distracting, sure, but I feel a renewed purpose!",PSG_10005360,,Temp,,18-52,,Trait = 88,50,,,89,Source = ReligiousMinister,,PlayerDriverOnly,,-2,-2,-2,-2,-2,-2,-2,-5,-5,,,,,30,,,,,,,,,,
90,Meditates,PSG_10005361,,Im so much calmer now... ,PSG_10005362,,Temp,,16-52,,,15,,,90,Source = Meditates,,PlayerDriverOnly,,,,,,,,,,5,,,,,,,,,,,,,,,
91,Security Guard,PSG_10005363,,I feel a lot more secure when Hank is here.,PSG_10005364,,Temp,,16-52,,,5,,,91,Source = SecurityGuard,,PlayerDriverOnly,,,,,,,,,,,,,,,10,-15,,,,,,,,,
92,Entourage,PSG_10005365,,So what if they get in the way a bit? Theyre my crew!,PSG_10005366,,Temp,,16-52,,,10,,,92,Source = Entourage,,PlayerDriverOnly,,,,,,,,,,,,,,,10,-75,,,,,,,,,
93,Taking Acting Lessons,PSG_10005367,,"Ive always longed for the stage, the lights... the adulation!",PSG_10005368,,Temp,,6-60,,,5,94,,93,Source = TakingActingLessons,,PlayerDriverOnly,,,,,,,,,,,,,,5,15,,,,,,,,,,
94,Auditioning For Films,PSG_10005369,,My agent knocked on a few doors... ,PSG_10005370,,Temp,,2-12,,Trait = 93,50,95,,94,Source = AuditioningForFilms,,PlayerDriverOnly,,,,,,,,,,,,,,40,,,,,,,,,,,
95,Appearing in Film,PSG_10005371,,"Its independent, arty... and no, Im not doing a nude scene.",PSG_10005372,,Temp,,48-70,,Trait = 94,50,96; 97,,95,Source = AppearingInFilm,,PlayerDriverOnly,,,,,,,,-5,,-5,,,,60,,,,,,,,,,,
96,Successful Actor,PSG_10005373,,"If you want me, Ill be in my trailer.",PSG_10005374,,Temp,,52-104,,Trait = 95,50,,,96,Source = SuccessfulActor,,PlayerDriverOnly,,,,,,,,-8,,-8,,,,80,30,,,,,,,,,,
97,Failed Actor,PSG_10005375,,"Man, those critics dont hold back... ",PSG_10005376,,Temp,,16-26,,Trait = 93||94||95,50,,,97,Source = FailedActor,,PlayerDriverOnly,,,,,,,,,,-5,,,,-40,-80,,,,,,,,,,
98,Budding Musician,PSG_10005377,,Ooh! My rhyming dictionary has arrived!,PSG_10005378,,Temp,,6-60,,,10,99,,98,Source = BuddingMusician,,PlayerDriverOnly,,,,,,,,,,,,,,20,,,,,,,,,,,
99,Releasing Album,PSG_10005379,,We left so much quality material in the studio... ,PSG_10005380,,Temp,,24-80,,Trait = 98,50,100,,99,Source = ReleasingAlbum,,PlayerDriverOnly,,,,,,,,,,,,,,50,,,,,,,,,,,
100,Successful Musician,PSG_10005381,,Forget racing! This is the true outlet for my genius...,PSG_10005382,,Temp,,52-104,,Trait = 99,50,101,,100,Source = SuccessfulMusician,,PlayerDriverOnly,,,,,,,,,,-5,,,,80,30,,,,,,,,,,
101,Failed Musician,PSG_10005383,,Who knew that the listening public could be so wrong?,PSG_10005384,,Temp,,16-26,,Trait = 100,50,,,101,Source = FailedMusician,,PlayerDriverOnly,,,,,,,,,,,,,,,-60,,,,,,,,,,
102,Fashionista,PSG_10005385,,"That jacket is so last season, darling!",PSG_10005386,,Temp,,16-52,,,10,103,,102,Source = Stylish,,PlayerDriverOnly,,,,,,,,,,,,,,20,,,,,,,,,,,
103,Designing Clothing Line,PSG_10005387,,"I was thinking about redesigning our overalls, boss...",PSG_10005388,,Temp,,16-52,,Trait = 102,50,104,,103,Source = DesigningClothingLine,,PlayerDriverOnly,,,,,,,,,,,,,,50,,,,,,,,,,,
104,Successful Designer,PSG_10005389,,Its great! I can sell shirts for £300!,PSG_10005390,,Temp,,52-104,,Trait = 103,50,105,,104,Source = SuccessfulDesigner,,PlayerDriverOnly,,,,,,,,,,,,,,80,20,,,,,,,,,,
105,Failed Designer,PSG_10005391,,Apparently the world isnt quite ready for suede underwear.,PSG_10005392,,Temp,,16-26,,Trait = 103,50,,,105,Source = FailedDesigner,,PlayerDriverOnly,,,,,,,,,,-5,,,,,-70,,,,,,,,,,
106,Modelling Tryout,PSG_10005393,,They told me Im beautiful! I could be a model!,PSG_10005394,,Temp,,16-52,,,10,107,21,106,Source = ModellingTryout,,PlayerDriverOnly,,,,,,,,,,,,,,20,,,,,,,,,,,
107,Joined Modelling Agency,PSG_10005395,,Apparently my walk is interesting. Not bad.,PSG_10005396,,Temp,,16-52,,Trait = 106,50,108,,107,Source = JoinedModellingAgency,,PlayerDriverOnly,,,,,,,,,,,,,,40,,,,,,,,,,,
108,Catalogue Model,PSG_10005397,,"I may only have about 6 different poses, but theyre all good!",PSG_10005398,,Temp,,16-52,,Trait = 107,50,109,,108,Source = CatalogueModel,,PlayerDriverOnly,,,,,,,,,,,,,,60,15,,,,,,,,,,
109,Catwalk Model,PSG_10005399,,Im working on my signature look... I call it Grey Iron.,PSG_10005400,,Temp,,52-104,,Trait = 108,50,110,,109,Source = CatwalkModel,,PlayerDriverOnly,,,,,,,,,,,,,,80,30,,,,,,,,,,
110,Failed Model,PSG_10005401,,Theyre all a bunch of waifs and strays anyway!,PSG_10005402,,Temp,,16-26,,Trait = 106||107||108,50,,,110,Source = FailedModel,,PlayerDriverOnly,,,,,,,,,,-5,,,,,-60,,,,,,,,,,
111,Clubgoer,PSG_10005403,,"Why, yes! I do like to rock the party!",PSG_10005404,,Temp,,16-52,,,10,112,33,111,Source = Clubgoer,,PlayerDriverOnly,,,,,,,,-3,,,,,,10,10,,,,,,,,,,
112,On Party Circuit,PSG_10005405,,Damn the paparazzi!,PSG_10005406,,Temp,,16-52,,Trait = 111,50,113,,112,Source = OnPartyCircuit,,PlayerDriverOnly,,,,,,,,-5,,-5,,,,20,,,,,,,,,,,
113,Party Animal,PSG_10005407,,"24/7, baby! My life is the best!",PSG_10005408,,Temp,,52-104,,Trait = 112,50,114; 115,,113,Source = PartyAnimal,,PlayerDriverOnly,,,,,,,,-8,,-8,,,,30,,,,,,,,,,,
114,Burnt Out,PSG_10005409,,Uh... I think I might have overdone it a bit...,PSG_10005410,,Temp,,2-12,,Trait = 113,50,,,114,Source = BurntOut,,PlayerDriverOnly,-12,,,,,,,,,,,,,,,,,,,,,,,,
115,Dating Celebrity,PSG_10005411,,"Sure, shes demanding... but shes worth it!",PSG_10005412,,Temp,,16-52,,Trait = 113,50,116; 117,,115,Source = DatingCelebrity,,PlayerDriverOnly,,,,,,,,,,,,,,15,20,,,,,,,,,,
116,Broke Up With Celebrity,PSG_10005413,,She left me... I guess I just cant compete with an underwear model.,PSG_10005414,,Temp,,16-26,,Trait = 115,50,,,116,Source = BrokeUpWithCelebrity,,PlayerDriverOnly,,,,,,,,,,,,,,45,-80,,,,,,,,,,
117,Celebrity Spouse,PSG_10005415,,You mean to say the paparazzi were here for my wife?,PSG_10005416,,Temp,,2-520,,Trait = 115,50,,,117,Source = CelebritySpouse,,PlayerDriverOnly,,,,,,,,,,,,,,60,,,,,,,,,,,
118,Addictive Personality,PSG_10005417,,I may have a problem... ,PSG_10005418,,Temp,,16-26,,,10,,,118,Source = AddictivePersonality,,PlayerDriverOnly,,,,,,,,,,-3,,,,,-80,,,,,,,,,,
119,In Rehab,PSG_10005419,,Im getting clean... addiction has ruled my life for too long!,PSG_10005420,,Temp,,16-52,,Trait = 118,50,,,119,Source = InRehab,,PlayerDriverOnly,,,,,,,,,,,,,,,15,,,,-35,,,,,,
120,Addiction Free,PSG_10005421,,Im reformed now. My mind is clear.,PSG_10005422,,Temp,,16-26,,Trait = 119,50,,,120,Source = AddictionFree,,PlayerDriverOnly,,,,,,,,,,5,,,,,30,,,,,,,,,,
121,Addiction Relapse,PSG_10005423,,Its happening again!,PSG_10005424,,Temp,,16-32,,Trait = 120,50,,,121,Source = AddictionRelapse,,PlayerDriverOnly,,,,,,,,,,-8,,,,,-80,,,,,,,,,,
122,Caught Speeding,PSG_10005425,,"Hey, if anyone should be allowed to drive at speed, its me.",PSG_10005426,,Temp,,2-8,,,10,,,122,Source = CaughtSpeeding,,PlayerDriverOnly,,,,,,,,,,,,,,10,,,,,,,,,,,
123,Crashed Car,PSG_10005427,,Its okay. I have plenty of others.,PSG_10005428,,Temp,,3-10,,Trait = 122,10,,,123,Source = CrashedCar,,PlayerDriverOnly,,,,,,,,,,,,,,20,,,,-30,,,,,,,
124,Banned from Driving,PSG_10005429,,I can still race. Its cool.,PSG_10005430,,Temp,,26-104,,Trait = 123,10,,,124,Source = BannedFromDriving,,PlayerDriverOnly,,,,,,,,,,,,,,30,,,,-45,,,,,,,
125,Took Selfie While Driving,PSG_10005431,,"Oh, right... I was still banned! Oops.",PSG_10005432,,Temp,,4-10,,Trait = 124,10,,,125,Source = TookSelfieWhileDriving,,PlayerDriverOnly,,,,,,,,,,,,,,-20,,,,-60,,,,,,,
126,Refocused,PSG_10005433,,Im getting my head back in the game...,PSG_10005434,,Temp,,7-38,,,5,,,126,Source = Refocused,,PlayerDriverOnly,5,,,,,,,,,,,,,,15,,,,,,,,,,
127,Racing Snowmobiles,PSG_10005435,,Its such a different challenge!,PSG_10005436,,Temp,,4-12,,,5,,129; 131; 133;,127,Source = RacingSnowmobiles,,PlayerDriverOnly,,,,,,,4,,,,,,,10,,,,,,,,,,,
128,Snowmobile Champion,PSG_10005437,,I am the master of the snow!,PSG_10005438,,Permanent,,,,Trait = 127,25,,,128,Source = SnowmobileWinner,,PlayerDriverOnly,,,,,,,6,,,,,,,10,,,,,,,,,,,
129,Racing Rally Cars,PSG_10005439,,You really have to feel the car...,PSG_10005440,,Temp,,8-24,,,2,130,127; 131; 133,129,Source = RacingRallyCars,,PlayerDriverOnly,,,2,,,,3,,,,,,,10,,,,,,,,,,,
130,Rally Champion,PSG_10005441,,There are no hiding places when youre on a mountainside.,PSG_10005442,,Permanent,,,,Trait = 129,25,,,130,Source = RallyWinner,,PlayerDriverOnly,,,3,,,,5,,,,,,,10,,,,,,,,,,,
131,Racing Motorbikes,PSG_10005443,,I understand grip so much better now... ,PSG_10005444,,Temp,,8-24,,,5,132,127; 129; 133,131,Source = RacingMotorbikes,,PlayerDriverOnly,,,,,,,4,,,,,,,10,,,,,,,,,,,
132,Motorbike Champion,PSG_10005445,,The road holds no mystery to me.,PSG_10005446,,Permanent,,,,Trait = 131,25,,,132,Source = MotorbikeWinner,,PlayerDriverOnly,,,,,,,7,,,,,,,10,,,,,,,,,,,
